Scenario - bike_pilot_block
Logfile written - 09/11/2019 12:54:18

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

addi	1	Picture	instruct	10133	0	1	83041	1	0	next	other	0
addi	1	Response	1	93091	82958	1
addi	2	Picture	cross_start	93174	0	1	10130	1	0	10000	other	0
addi	2	Picture	13	103305	10130	1	2533	1	10000	2500	other	0
addi	2	Picture	cross_default	105837	12663	1	3866	1	12500	3750	other	0
addi	2	Picture	dis_1	109703	16528	1	2533	1	16250	2500	other	0
addi	2	Picture	cross_default	112235	19061	1	2533	1	18750	2500	other	0
addi	2	Picture	dis_2	114768	21593	1	2533	1	21250	2500	other	0
addi	2	Picture	cross_default	117300	24126	1	2533	1	23750	2500	other	0
addi	2	Picture	dis_3	119833	26659	1	2533	1	26250	2500	other	0
addi	2	Picture	cross_default	122366	29191	1	3866	1	28750	3750	other	0
addi	2	Picture	60	126231	33057	1	2532	1	32500	2500	other	0
addi	2	Picture	cross_respond	128764	35589	1	2533	1	35000	2500	other	0
addi	2	Picture	cross_wait	131296	38122	1	5199	1	37500	next	hit	15
addi	2	Response	2	136371	43196	1
addi	2A	Picture	correct	136495	0	1	2133	1	0	2000	other	0
addi	3	Picture	cross_start	138761	0	1	10130	1	0	10000	other	0
addi	3	Picture	33	148891	10130	1	2532	1	10000	2500	other	0
addi	3	Picture	cross_default	151423	12663	1	3866	1	12500	3750	other	0
addi	3	Picture	dis_1	155289	16528	1	2533	1	16250	2500	other	0
addi	3	Picture	cross_default	157821	19061	1	2533	1	18750	2500	other	0
addi	3	Picture	dis_2	160354	21593	1	2533	1	21250	2500	other	0
addi	3	Picture	cross_default	162887	24126	1	2533	1	23750	2500	other	0
addi	3	Picture	dis_3	165419	26659	1	2533	1	26250	2500	other	0
addi	3	Picture	cross_default	167952	29191	1	3866	1	28750	3750	other	0
addi	3	Picture	60	171817	33057	1	2533	1	32500	2500	other	0
addi	3	Picture	cross_respond	174350	35589	1	2533	1	35000	2500	other	0
addi	3	Picture	cross_wait	176882	38122	1	4399	1	37500	next	hit	29
addi	3	Response	2	181170	42409	1
addi	3A	Picture	correct	181281	0	1	2133	1	0	2000	other	0
addi	4	Picture	cross_start	183547	0	1	10130	1	0	10000	other	0
addi	4	Picture	11	193677	10130	1	2533	1	10000	2500	other	0
addi	4	Picture	cross_default	196210	12663	1	3865	1	12500	3750	other	0
addi	4	Picture	dis_1	200075	16528	1	2533	1	16250	2500	other	0
addi	4	Picture	cross_default	202608	19061	1	2532	1	18750	2500	other	0
addi	4	Picture	dis_2	205140	21593	1	2533	1	21250	2500	other	0
addi	4	Picture	cross_default	207673	24126	1	2533	1	23750	2500	other	0
addi	4	Picture	dis_3	210206	26659	1	2533	1	26250	2500	other	0
addi	4	Picture	cross_default	212738	29191	1	3866	1	28750	3750	other	0
addi	4	Picture	60	216604	33057	1	2533	1	32500	2500	other	0
addi	4	Picture	cross_respond	219136	35589	1	2533	1	35000	2500	other	0
addi	4	Picture	cross_wait	221669	38122	1	6798	1	37500	next	hit	43
addi	4	Response	1	228370	44823	1
addi	4A	Picture	correct	228467	0	1	2133	1	0	2000	other	0
addi	5	Picture	cross_start	230733	0	1	10130	1	0	10000	other	0
addi	5	Picture	14	240863	10130	1	2533	1	10000	2500	other	0
addi	5	Picture	cross_default	243395	12663	1	3865	1	12500	3750	other	0
addi	5	Picture	dis_1	247261	16528	1	2533	1	16250	2500	other	0
addi	5	Picture	cross_default	249793	19061	1	2533	1	18750	2500	other	0
addi	5	Picture	dis_2	252326	21593	1	2533	1	21250	2500	other	0
addi	5	Picture	cross_default	254859	24126	1	2533	1	23750	2500	other	0
addi	5	Picture	dis_3	257391	26659	1	2533	1	26250	2500	other	0
addi	5	Picture	cross_default	259924	29191	1	3865	1	28750	3750	other	0
addi	5	Picture	70	263789	33057	1	2533	1	32500	2500	other	0
addi	5	Picture	cross_respond	266322	35589	1	2533	1	35000	2500	other	0
addi	5	Picture	cross_wait	268854	38122	1	10263	1	37500	next	hit	57
addi	5	Response	1	279010	48277	1
addi	5A	Picture	correct	279118	0	1	2133	1	0	2000	other	0
addi	6	Picture	cross_start	281384	0	1	10130	1	0	10000	other	0
addi	6	Picture	31	291514	10130	1	2533	1	10000	2500	other	0
addi	6	Picture	cross_default	294047	12663	1	3865	1	12500	3750	other	0
addi	6	Picture	dis_1	297912	16528	1	2533	1	16250	2500	other	0
addi	6	Picture	cross_default	300445	19061	1	2533	1	18750	2500	other	0
addi	6	Picture	dis_2	302977	21593	1	2533	1	21250	2500	other	0
addi	6	Picture	cross_default	305510	24126	1	2533	1	23750	2500	other	0
addi	6	Picture	dis_3	308042	26659	1	2533	1	26250	2500	other	0
addi	6	Picture	cross_default	310575	29191	1	3865	1	28750	3750	other	0
addi	6	Picture	60	314440	33057	1	2533	1	32500	2500	other	0
addi	6	Picture	cross_respond	316973	35589	1	2533	1	35000	2500	other	0
addi	6	Picture	cross_wait	319506	38122	1	11330	1	37500	next	hit	71
addi	6	Response	1	330769	49386	1
addi	6A	Picture	correct	330835	0	1	2133	1	0	2000	other	0
addi	7	Picture	cross_start	333101	0	1	10130	1	0	10000	other	0
addi	7	Picture	31	343232	10130	1	2533	1	10000	2500	other	0
addi	7	Picture	cross_default	345764	12663	1	3865	1	12500	3750	other	0
addi	7	Picture	dis_1	349630	16528	1	2533	1	16250	2500	other	0
addi	7	Picture	cross_default	352162	19061	1	2533	1	18750	2500	other	0
addi	7	Picture	dis_2	354695	21593	1	2533	1	21250	2500	other	0
addi	7	Picture	cross_default	357227	24126	1	2533	1	23750	2500	other	0
addi	7	Picture	dis_3	359760	26659	1	2533	1	26250	2500	other	0
addi	7	Picture	cross_default	362293	29191	1	3865	1	28750	3750	other	0
addi	7	Picture	60	366158	33057	1	2533	1	32500	2500	other	0
addi	7	Picture	cross_respond	368691	35589	1	2533	1	35000	2500	other	0
addi	7	Picture	cross_wait	371223	38122	1	4532	1	37500	next	hit	85
addi	7	Response	1	375729	42628	1
addi	7A	Picture	correct	375755	0	1	2133	1	0	2000	other	0
addi	8	Picture	cross_start	378021	0	1	10130	1	0	10000	other	0
addi	8	Picture	31	388151	10130	1	2533	1	10000	2500	other	0
addi	8	Picture	cross_default	390684	12663	1	3866	1	12500	3750	other	0
addi	8	Picture	dis_1	394550	16528	1	2532	1	16250	2500	other	0
addi	8	Picture	cross_default	397082	19061	1	2533	1	18750	2500	other	0
addi	8	Picture	dis_2	399615	21593	1	2533	1	21250	2500	other	0
addi	8	Picture	cross_default	402147	24126	1	2533	1	23750	2500	other	0
addi	8	Picture	dis_3	404680	26659	1	2533	1	26250	2500	other	0
addi	8	Picture	cross_default	407212	29191	1	3866	1	28750	3750	other	0
addi	8	Picture	60	411078	33057	1	2533	1	32500	2500	other	0
addi	8	Picture	cross_respond	413610	35589	1	2532	1	35000	2500	other	0
addi	8	Picture	cross_wait	416143	38122	1	3999	1	37500	next	hit	99
addi	8	Response	1	420048	42027	1
addi	8A	Picture	correct	420142	0	1	2133	1	0	2000	other	0
addi	9	Picture	cross_start	422408	0	1	10130	1	0	10000	other	0
addi	9	Picture	11	432538	10130	1	2533	1	10000	2500	other	0
addi	9	Picture	cross_default	435070	12663	1	3866	1	12500	3750	other	0
addi	9	Picture	dis_1	438936	16528	1	2533	1	16250	2500	other	0
addi	9	Picture	cross_default	441469	19061	1	2533	1	18750	2500	other	0
addi	9	Picture	dis_2	444001	21594	1	2533	1	21250	2500	other	0
