Scenario - bike_pilot_practice
Logfile written - 09/11/2019 12:37:09

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

addi	1	Picture	instruct	10133	0	1	82642	1	0	next	other	0
addi	1	Response	1	92697	82564	1
addi	2	Picture	cross_start	92774	0	1	10130	1	0	10000	other	0
addi	2	Picture	34	102905	10130	1	2533	1	10000	2500	other	0
addi	2	Picture	cross_default	105437	12663	1	3866	1	12500	3750	other	0
addi	2	Picture	dis_1	109303	16528	1	2533	1	16250	2500	other	0
addi	2	Picture	cross_default	111835	19061	1	2533	1	18750	2500	other	0
addi	2	Picture	dis_2	114368	21593	1	2666	1	21250	2500	other	0
addi	2	Picture	cross_default	117034	24259	1	2532	1	23750	2500	other	0
addi	2	Picture	dis_3	119566	26792	1	2533	1	26250	2500	other	0
addi	2	Picture	cross_default	122099	29324	1	3866	1	28750	3750	other	0
addi	2	Picture	70	125964	33190	1	2533	1	32500	2500	other	0
addi	2	Picture	cross_respond	128497	35722	1	2533	1	35000	2500	other	0
addi	2	Picture	cross_wait	131030	38255	1	9064	1	37500	next	miss	0
addi	2	Response	2	140057	47282	1
addi	2A	Picture	incorrect	140093	0	1	2133	1	0	2000	other	0
addi	3	Picture	cross_start	142359	0	1	10130	1	0	10000	other	0
addi	3	Picture	32	152490	10130	1	2533	1	10000	2500	other	0
addi	3	Picture	cross_default	155022	12663	1	3866	1	12500	3750	other	0
addi	3	Picture	dis_1	158888	16528	1	2533	1	16250	2500	other	0
addi	3	Picture	cross_default	161420	19061	1	2533	1	18750	2500	other	0
addi	3	Picture	dis_2	163953	21593	1	2533	1	21250	2500	other	0
addi	3	Picture	cross_default	166485	24126	1	2533	1	23750	2500	other	0
addi	3	Picture	dis_3	169018	26659	1	2533	1	26250	2500	other	0
addi	3	Picture	cross_default	171551	29191	1	3866	1	28750	3750	other	0
addi	3	Picture	70	175416	33057	1	2533	1	32500	2500	other	0
addi	3	Picture	cross_respond	177949	35589	1	2533	1	35000	2500	other	0
addi	3	Picture	cross_wait	180481	38122	1	10797	1	37500	next	miss	0
addi	3	Response	1	191256	48897	1
addi	3A	Picture	incorrect	191278	0	1	2133	1	0	2000	other	0
addi	4	Picture	cross_start	193544	0	1	10130	1	0	10000	other	0
addi	4	Picture	11	203674	10130	1	2533	1	10000	2500	other	0
addi	4	Picture	cross_default	206207	12663	1	3865	1	12500	3750	other	0
addi	4	Picture	dis_1	210072	16528	1	2532	1	16250	2500	other	0
addi	4	Picture	cross_default	212605	19061	1	2533	1	18750	2500	other	0
addi	4	Picture	dis_2	215137	21593	1	2533	1	21250	2500	other	0
addi	4	Picture	cross_default	217670	24126	1	2532	1	23750	2500	other	0
addi	4	Picture	dis_3	220202	26659	1	2533	1	26250	2500	other	0
addi	4	Picture	cross_default	222735	29191	1	3866	1	28750	3750	other	0
addi	4	Picture	60	226600	33057	1	2533	1	32500	2500	other	0
addi	4	Picture	cross_respond	229133	35589	1	2533	1	35000	2500	other	0
addi	4	Picture	cross_wait	231666	38122	1	15862	1	37500	next	hit	43
addi	4	Response	1	247416	53872	1
addi	4A	Picture	correct	247527	0	1	2133	1	0	2000	other	0
addi	5	Picture	cross_start	249793	0	1	10130	1	0	10000	other	0
addi	5	Picture	31	259924	10130	1	2533	1	10000	2500	other	0
addi	5	Picture	cross_default	262456	12663	1	3866	1	12500	3750	other	0
addi	5	Picture	dis_1	266322	16528	1	2533	1	16250	2500	other	0
addi	5	Picture	cross_default	268854	19061	1	2533	1	18750	2500	other	0
addi	5	Picture	dis_2	271387	21593	1	2533	1	21250	2500	other	0
addi	5	Picture	cross_default	273919	24126	1	2533	1	23750	2500	other	0
addi	5	Picture	dis_3	276452	26659	1	2533	1	26250	2500	other	0
addi	5	Picture	cross_default	278985	29191	1	3866	1	28750	3750	other	0
addi	5	Picture	60	282850	33057	1	2533	1	32500	2500	other	0
addi	5	Picture	cross_respond	285383	35589	1	2533	1	35000	2500	other	0
addi	5	Picture	cross_wait	287915	38122	1	11063	1	37500	next	hit	57
addi	5	Response	1	298856	49062	1
addi	5A	Picture	correct	298978	0	1	2133	1	0	2000	other	0
addi	6	Picture	cross_start	301244	0	1	10130	1	0	10000	other	0
addi	6	Picture	12	311375	10130	1	2533	1	10000	2500	other	0
addi	6	Picture	cross_default	313907	12663	1	3865	1	12500	3750	other	0
addi	6	Picture	dis_1	317773	16528	1	2533	1	16250	2500	other	0
addi	6	Picture	cross_default	320305	19061	1	2533	1	18750	2500	other	0
addi	6	Picture	dis_2	322838	21593	1	2533	1	21250	2500	other	0
addi	6	Picture	cross_default	325370	24126	1	2533	1	23750	2500	other	0
addi	6	Picture	dis_3	327903	26659	1	2533	1	26250	2500	other	0
addi	6	Picture	cross_default	330436	29191	1	3866	1	28750	3750	other	0
addi	6	Picture	70	334301	33057	1	2533	1	32500	2500	other	0
addi	6	Picture	cross_respond	336834	35589	1	2533	1	35000	2500	other	0
addi	6	Picture	cross_wait	339366	38122	1	12130	1	37500	next	hit	71
addi	6	Response	2	351415	50171	1
addi	6A	Picture	correct	351496	0	1	2133	1	0	2000	other	0
addi	7	Picture	cross_start	353762	0	1	10130	1	0	10000	other	0
addi	7	Picture	22	363892	10130	1	2533	1	10000	2500	other	0
addi	7	Picture	cross_default	366425	12663	1	3866	1	12500	3750	other	0
addi	7	Picture	dis_1	370290	16528	1	2533	1	16250	2500	other	0
addi	7	Picture	cross_default	372823	19061	1	2533	1	18750	2500	other	0
addi	7	Picture	dis_2	375355	21593	1	2533	1	21250	2500	other	0
addi	7	Picture	cross_default	377888	24126	1	2533	1	23750	2500	other	0
addi	7	Picture	dis_3	380420	26659	1	2533	1	26250	2500	other	0
addi	7	Picture	cross_default	382953	29191	1	3865	1	28750	3750	other	0
addi	7	Picture	70	386818	33057	1	2533	1	32500	2500	other	0
addi	7	Picture	cross_respond	389351	35589	1	2533	1	35000	2500	other	0
addi	7	Picture	cross_wait	391884	38122	1	18794	1	37500	next	hit	85
addi	7	Response	2	410535	56773	1
addi	7A	Picture	correct	410678	0	1	2133	1	0	2000	other	0
addi	8	Picture	cross_start	412944	0	1	10130	1	0	10000	other	0
addi	8	Picture	23	423074	10130	1	2533	1	10000	2500	other	0
addi	8	Picture	cross_default	425607	12663	1	3865	1	12500	3750	other	0
addi	8	Picture	dis_1	429472	16528	1	2533	1	16250	2500	other	0
addi	8	Picture	cross_default	432005	19061	1	2532	1	18750	2500	other	0
addi	8	Picture	dis_2	434537	21593	1	2533	1	21250	2500	other	0
addi	8	Picture	cross_default	437070	24126	1	2533	1	23750	2500	other	0
addi	8	Picture	dis_3	439602	26659	1	2533	1	26250	2500	other	0
addi	8	Picture	cross_default	442135	29191	1	3865	1	28750	3750	other	0
addi	8	Picture	60	446000	33057	1	2533	1	32500	2500	other	0
addi	8	Picture	cross_respond	448533	35589	1	2533	1	35000	2500	other	0
addi	8	Picture	cross_wait	451066	38122	1	16129	1	37500	next	hit	99
addi	8	Response	2	467095	54151	1
addi	8A	Picture	correct	467194	0	1	2133	1	0	2000	other	0
addi	9	Picture	cross_start	469460	0	1	10130	1	0	10000	other	0
addi	9	Picture	12	479590	10130	1	2533	1	10000	2500	other	0
addi	9	Picture	cross_default	482123	12663	1	3866	1	12500	3750	other	0
addi	9	Picture	dis_1	485988	16528	1	2533	1	16250	2500	other	0
addi	9	Picture	cross_default	488521	19061	1	2533	1	18750	2500	other	0
addi	9	Picture	dis_2	491053	21593	1	2533	1	21250	2500	other	0
addi	9	Picture	cross_default	493586	24126	1	2533	1	23750	2500	other	0
addi	9	Picture	dis_3	496119	26659	1	2533	1	26250	2500	other	0
addi	9	Picture	cross_default	498651	29191	1	3866	1	28750	3750	other	0
addi	9	Picture	70	502517	33057	1	2533	1	32500	2500	other	0
addi	9	Picture	cross_respond	505049	35589	1	2532	1	35000	2500	other	0
addi	9	Picture	cross_wait	507582	38122	1	13729	2	37500	next	hit	113
addi	9	Response	2	521174	51714	1
addi	9A	Picture	correct	521311	0	1	2133	2	0	2000	other	0
addi	10	Picture	cross_start	523577	0	1	10130	1	0	10000	other	0
addi	10	Picture	12	533707	10130	1	2533	1	10000	2500	other	0
addi	10	Picture	cross_default	536240	12663	1	3866	1	12500	3750	other	0
addi	10	Picture	dis_1	540105	16528	1	2533	1	16250	2500	other	0
addi	10	Picture	cross_default	542638	19061	1	2533	1	18750	2500	other	0
addi	10	Picture	dis_2	545170	21593	1	2533	1	21250	2500	other	0
addi	10	Picture	cross_default	547703	24126	1	2533	1	23750	2500	other	0
addi	10	Picture	dis_3	550235	26659	1	2533	1	26250	2500	other	0
addi	10	Picture	cross_default	552768	29191	1	3866	1	28750	3750	other	0
addi	10	Picture	70	556634	33057	1	2533	1	32500	2500	other	0
addi	10	Picture	cross_respond	559166	35589	1	2532	1	35000	2500	other	0
addi	10	Picture	cross_wait	561699	38122	1	11996	1	37500	next	hit	127
addi	10	Response	2	573654	50077	1
addi	10A	Picture	correct	573695	0	1	2133	1	0	2000	other	0
