Scenario - bike_pilot_block
Logfile written - 09/10/2019 19:01:27

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

hesham01	1	Picture	instruct	10133	0	1	44385	1	0	next	other	0
hesham01	1	Response	1	54417	44283	1
hesham01	2	Picture	cross_start	54519	0	1	10130	1	0	10000	other	0
hesham01	2	Picture	31	64649	10130	1	2533	1	10000	2500	other	0
hesham01	2	Picture	cross_default	67181	12662	1	3865	1	12500	3750	other	0
hesham01	2	Picture	dis_1	71047	16528	1	2532	1	16250	2500	other	0
hesham01	2	Picture	cross_default	73579	19060	1	2533	1	18750	2500	other	0
hesham01	2	Picture	dis_2	76112	21593	1	2532	1	21250	2500	other	0
hesham01	2	Picture	cross_default	78644	24125	1	2532	1	23750	2500	other	0
hesham01	2	Picture	dis_3	81176	26658	1	2533	1	26250	2500	other	0
hesham01	2	Picture	cross_default	83709	29190	1	3865	1	28750	3750	other	0
hesham01	2	Picture	60	87574	33056	1	2533	1	32500	2500	other	0
hesham01	2	Picture	cross_respond	90107	35588	1	2532	1	35000	2500	other	0
hesham01	2	Picture	cross_wait	92639	38121	1	6131	1	37500	next	hit	15
hesham01	2	Response	1	98736	44217	1
hesham01	2A	Picture	correct	98771	0	1	2133	1	0	2000	other	0
hesham01	3	Picture	cross_start	101037	0	1	10130	1	0	10000	other	0
hesham01	3	Picture	13	111167	10130	1	2533	1	10000	2500	other	0
hesham01	3	Picture	cross_default	113699	12663	1	3865	1	12500	3750	other	0
hesham01	3	Picture	dis_1	117564	16528	1	2533	1	16250	2500	other	0
hesham01	3	Picture	cross_default	120097	19060	1	2532	1	18750	2500	other	0
hesham01	3	Picture	dis_2	122630	21593	1	2533	1	21250	2500	other	0
hesham01	3	Picture	cross_default	125162	24125	1	2533	1	23750	2500	other	0
hesham01	3	Picture	dis_3	127695	26658	1	2532	1	26250	2500	other	0
hesham01	3	Picture	cross_default	130227	29190	1	3865	1	28750	3750	other	0
hesham01	3	Picture	60	134092	33056	1	2533	1	32500	2500	other	0
hesham01	3	Picture	cross_respond	136625	35588	1	2533	1	35000	2500	other	0
hesham01	3	Picture	cross_wait	139157	38121	1	17461	1	37500	next	hit	29
hesham01	3	Response	2	156575	55538	1
hesham01	3A	Picture	correct	156618	0	1	2133	1	0	2000	other	0
hesham01	4	Picture	cross_start	158884	0	1	10130	1	0	10000	other	0
hesham01	4	Picture	31	169014	10130	1	2532	1	10000	2500	other	0
hesham01	4	Picture	cross_default	171547	12662	1	3865	1	12500	3750	other	0
hesham01	4	Picture	dis_1	175412	16528	1	2533	1	16250	2500	other	0
hesham01	4	Picture	cross_default	177945	19060	1	2533	1	18750	2500	other	0
hesham01	4	Picture	dis_2	180477	21593	1	2533	1	21250	2500	other	0
hesham01	4	Picture	cross_default	183010	24125	1	2532	1	23750	2500	other	0
hesham01	4	Picture	dis_3	185542	26658	1	2533	1	26250	2500	other	0
hesham01	4	Picture	cross_default	188075	29190	1	3865	1	28750	3750	other	0
hesham01	4	Picture	60	191940	33056	1	2532	1	32500	2500	other	0
hesham01	4	Picture	cross_respond	194472	35588	1	2533	1	35000	2500	other	0
hesham01	4	Picture	cross_wait	197005	38121	1	6798	1	37500	next	hit	43
hesham01	4	Response	1	203774	44890	1
hesham01	4A	Picture	correct	203803	0	1	2133	2	0	2000	other	0
hesham01	5	Picture	cross_start	206069	0	1	10130	1	0	10000	other	0
hesham01	5	Picture	24	216199	10130	1	2532	1	10000	2500	other	0
hesham01	5	Picture	cross_default	218731	12663	1	3865	1	12500	3750	other	0
hesham01	5	Picture	dis_1	222597	16528	1	2533	1	16250	2500	other	0
hesham01	5	Picture	cross_default	225129	19060	1	2532	1	18750	2500	other	0
hesham01	5	Picture	dis_2	227662	21593	1	2533	1	21250	2500	other	0
hesham01	5	Picture	cross_default	230194	24125	1	2533	1	23750	2500	other	0
hesham01	5	Picture	dis_3	232727	26658	1	2532	1	26250	2500	other	0
hesham01	5	Picture	cross_default	235259	29190	1	3865	1	28750	3750	other	0
hesham01	5	Picture	70	239125	33056	1	2532	1	32500	2500	other	0
hesham01	5	Picture	cross_respond	241657	35588	1	2532	1	35000	2500	other	0
hesham01	5	Picture	cross_wait	244189	38121	1	10130	1	37500	next	hit	57
hesham01	5	Response	1	254253	48185	1
hesham01	5A	Picture	correct	254320	0	1	2133	1	0	2000	other	0
hesham01	6	Picture	cross_start	256585	0	1	10130	1	0	10000	other	0
hesham01	6	Picture	22	266715	10130	1	2532	1	10000	2500	other	0
hesham01	6	Picture	cross_default	269248	12662	1	3865	1	12500	3750	other	0
hesham01	6	Picture	dis_1	273113	16528	1	2533	1	16250	2500	other	0
hesham01	6	Picture	cross_default	275646	19060	1	2533	1	18750	2500	other	0
hesham01	6	Picture	dis_2	278178	21593	1	2533	1	21250	2500	other	0
hesham01	6	Picture	cross_default	280711	24125	1	2532	1	23750	2500	other	0
hesham01	6	Picture	dis_3	283243	26658	1	2532	1	26250	2500	other	0
hesham01	6	Picture	cross_default	285776	29190	1	3865	1	28750	3750	other	0
hesham01	6	Picture	70	289641	33056	1	2533	1	32500	2500	other	0
hesham01	6	Picture	cross_respond	292174	35588	1	2532	1	35000	2500	other	0
hesham01	6	Picture	cross_wait	294706	38121	1	13596	1	37500	next	miss	0
hesham01	6	Response	1	308252	51667	1
hesham01	6A	Picture	incorrect	308302	0	1	2133	1	0	2000	other	0
hesham01	7	Picture	cross_start	310568	0	1	10130	1	0	10000	other	0
hesham01	7	Picture	13	320698	10130	1	2533	1	10000	2500	other	0
hesham01	7	Picture	cross_default	323230	12662	1	3865	1	12500	3750	other	0
hesham01	7	Picture	dis_1	327096	16528	1	2532	1	16250	2500	other	0
hesham01	7	Picture	cross_default	329628	19060	1	2533	1	18750	2500	other	0
hesham01	7	Picture	dis_2	332161	21593	1	2532	1	21250	2500	other	0
hesham01	7	Picture	cross_default	334693	24125	1	2533	1	23750	2500	other	0
hesham01	7	Picture	dis_3	337226	26658	1	2532	1	26250	2500	other	0
hesham01	7	Picture	cross_default	339758	29190	1	3865	1	28750	3750	other	0
hesham01	7	Picture	60	343623	33056	1	2532	1	32500	2500	other	0
hesham01	7	Picture	cross_respond	346156	35588	1	2532	1	35000	2500	other	0
hesham01	7	Picture	cross_wait	348688	38121	1	18794	2	37500	next	miss	0
hesham01	7	Response	1	367452	56884	1
hesham01	7A	Picture	incorrect	367482	0	1	2133	2	0	2000	other	0
hesham01	8	Picture	cross_start	369748	0	1	10130	1	0	10000	other	0
hesham01	8	Picture	32	379878	10130	1	2533	1	10000	2500	other	0
hesham01	8	Picture	cross_default	382411	12663	1	3865	1	12500	3750	other	0
