Scenario - bike_pilot_block
Logfile written - 09/12/2019 12:53:41

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

joey	1	Picture	instruct	10133	0	1	35988	1	0	next	other	0
joey	1	Response	1	46011	35877	1
joey	2	Picture	cross_start	46121	0	1	10130	1	0	10000	other	0
joey	2	Picture	23	56251	10130	1	2533	1	10000	2500	other	0
joey	2	Picture	cross_default	58784	12663	1	3865	1	12500	3750	other	0
joey	2	Picture	dis_1	62649	16528	1	2532	1	16250	2500	other	0
joey	2	Picture	cross_default	65182	19060	1	2532	1	18750	2500	other	0
joey	2	Picture	dis_2	67714	21593	1	2533	1	21250	2500	other	0
joey	2	Picture	cross_default	70247	24126	1	2532	1	23750	2500	other	0
joey	2	Picture	dis_3	72779	26658	1	2532	1	26250	2500	other	0
joey	2	Picture	cross_default	75312	29190	1	3865	1	28750	3750	other	0
joey	2	Picture	60	79177	33056	1	2532	1	32500	2500	other	0
joey	2	Picture	cross_respond	81710	35588	1	2532	1	35000	2500	other	0
joey	2	Picture	cross_wait	84242	38121	1	6531	1	37500	next	miss	0
joey	2	Response	1	90730	44608	1
joey	2A	Picture	incorrect	90773	0	1	2133	1	0	2000	other	0
joey	3	Picture	cross_start	93039	0	1	10130	1	0	10000	other	0
joey	3	Picture	12	103169	10130	1	2533	1	10000	2500	other	0
joey	3	Picture	cross_default	105702	12663	1	3865	1	12500	3750	other	0
joey	3	Picture	dis_1	109567	16528	1	2532	1	16250	2500	other	0
joey	3	Picture	cross_default	112100	19060	1	2532	1	18750	2500	other	0
joey	3	Picture	dis_2	114632	21593	1	2532	1	21250	2500	other	0
joey	3	Picture	cross_default	117165	24125	1	2533	1	23750	2500	other	0
joey	3	Picture	dis_3	119697	26658	1	2532	1	26250	2500	other	0
joey	3	Picture	cross_default	122230	29190	1	3865	1	28750	3750	other	0
joey	3	Picture	70	126095	33056	1	2533	1	32500	2500	other	0
joey	3	Picture	cross_respond	128628	35588	1	2532	1	35000	2500	other	0
joey	3	Picture	cross_wait	131160	38121	1	5465	1	37500	next	hit	29
joey	3	Response	2	136489	43449	1
joey	3A	Picture	correct	136625	0	1	2133	1	0	2000	other	0
joey	4	Picture	cross_start	138891	0	1	10130	1	0	10000	other	0
joey	4	Picture	12	149021	10130	1	2532	1	10000	2500	other	0
joey	4	Picture	cross_default	151554	12663	1	3865	1	12500	3750	other	0
joey	4	Picture	dis_1	155419	16528	1	2532	1	16250	2500	other	0
joey	4	Picture	cross_default	157951	19060	1	2533	1	18750	2500	other	0
joey	4	Picture	dis_2	160484	21593	1	2532	1	21250	2500	other	0
joey	4	Picture	cross_default	163016	24125	1	2533	1	23750	2500	other	0
joey	4	Picture	dis_3	165549	26658	1	2532	1	26250	2500	other	0
joey	4	Picture	cross_default	168081	29190	1	3865	1	28750	3750	other	0
joey	4	Picture	70	171947	33056	1	2532	1	32500	2500	other	0
joey	4	Picture	cross_respond	174479	35588	1	2533	1	35000	2500	other	0
joey	4	Picture	cross_wait	177012	38121	1	5198	2	37500	next	hit	43
joey	4	Response	2	182088	43197	1
joey	4A	Picture	correct	182210	0	1	2133	2	0	2000	other	0
joey	5	Picture	cross_start	184476	0	1	10130	1	0	10000	other	0
joey	5	Picture	24	194606	10130	1	2532	1	10000	2500	other	0
joey	5	Picture	cross_default	197139	12663	1	3865	1	12500	3750	other	0
joey	5	Picture	dis_1	201004	16528	1	2533	1	16250	2500	other	0
joey	5	Picture	cross_default	203537	19060	1	2532	1	18750	2500	other	0
joey	5	Picture	dis_2	206069	21593	1	2533	1	21250	2500	other	0
joey	5	Picture	cross_default	208602	24125	1	2532	1	23750	2500	other	0
joey	5	Picture	dis_3	211134	26658	1	2532	1	26250	2500	other	0
joey	5	Picture	cross_default	213666	29190	1	3865	1	28750	3750	other	0
joey	5	Picture	70	217532	33056	1	2533	1	32500	2500	other	0
joey	5	Picture	cross_respond	220064	35588	1	2533	1	35000	2500	other	0
joey	5	Picture	cross_wait	222597	38121	1	11063	1	37500	next	hit	57
joey	5	Response	1	233527	49051	1
joey	5A	Picture	correct	233660	0	1	2133	1	0	2000	other	0
joey	6	Picture	cross_start	235926	0	1	10130	1	0	10000	other	0
joey	6	Picture	12	246056	10130	1	2533	1	10000	2500	other	0
joey	6	Picture	cross_default	248588	12663	1	3865	1	12500	3750	other	0
