Scenario - bike_pilot_block
Logfile written - 09/12/2019 16:54:06

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

sub01	1	Picture	instruct	10133	0	1	88106	1	0	next	other	0
sub01	1	Response	1	98126	87993	1
sub01	2	Picture	cross_default	98239	0	1	10130	1	0	10000	other	0
sub01	2	Picture	arrow_right	108369	10130	1	2533	1	10000	2500	other	0
sub01	2	Picture	cross_default	110902	12663	1	2533	1	12500	2500	other	0
sub01	2	Picture	arrow_right	113435	15195	1	2533	1	15000	2500	other	0
sub01	2	Picture	cross_default	115967	17728	1	1733	1	17500	1670	other	0
sub01	2	Picture	arrow_stay	117700	19461	1	2532	1	19170	2500	other	0
sub01	2	Picture	cross_default	120232	21993	1	1733	1	21670	1670	other	0
sub01	2	Picture	arrow_switch	121965	23726	1	2533	1	23340	2500	other	0
sub01	2	Picture	cross_default	124498	26259	1	1733	1	25840	1670	other	0
sub01	2	Picture	arrow_switch	126231	27991	1	2533	1	27510	2500	other	0
sub01	2	Picture	cross_default	128763	30524	1	2533	1	30010	2500	other	0
sub01	2	Picture	arrow_switch	131296	33057	1	2533	1	32510	2500	other	0
sub01	2	Picture	cross_respond	133828	35589	1	2533	1	35010	2500	other	0
sub01	2	Picture	cross_wait	136361	38122	1	4399	1	37510	next	hit	17
sub01	2	Response	1	140606	42367	1
sub01	2A	Picture	correct	140760	0	1	2133	1	0	2000	other	0
sub01	3	Picture	cross_default	143025	0	1	10130	1	0	10000	other	0
sub01	3	Picture	arrow_right	153156	10130	1	2533	1	10000	2500	other	0
sub01	3	Picture	cross_default	155688	12663	1	2533	1	12500	2500	other	0
sub01	3	Picture	arrow_stay	158221	15195	1	2533	1	15000	2500	other	0
sub01	3	Picture	cross_default	160753	17728	1	1733	1	17500	1670	other	0
sub01	3	Picture	arrow_right	162486	19461	1	2533	1	19170	2500	other	0
sub01	3	Picture	cross_default	165019	21993	1	1733	1	21670	1670	other	0
sub01	3	Picture	arrow_right	166752	23726	1	2532	1	23340	2500	other	0
sub01	3	Picture	cross_default	169284	26259	1	1733	1	25840	1670	other	0
sub01	3	Picture	arrow_right	171017	27991	1	2533	1	27510	2500	other	0
sub01	3	Picture	cross_default	173549	30524	1	2533	1	30010	2500	other	0
sub01	3	Picture	arrow_switch	176082	33057	1	2533	1	32510	2500	other	0
sub01	3	Picture	cross_respond	178615	35589	1	2533	1	35010	2500	other	0
sub01	3	Picture	cross_wait	181147	38122	1	667	1	37510	next	hit	33
sub01	3	Response	1	181726	38700	1
sub01	3A	Picture	correct	181814	0	1	2133	1	0	2000	other	0
sub01	4	Picture	cross_default	184080	0	1	10130	1	0	10000	other	0
sub01	4	Picture	arrow_left	194210	10130	1	2533	1	10000	2500	other	0
sub01	4	Picture	cross_default	196742	12663	1	2532	1	12500	2500	other	0
sub01	4	Picture	arrow_left	199275	15195	1	2533	1	15000	2500	other	0
sub01	4	Picture	cross_default	201807	17728	1	1733	1	17500	1670	other	0
sub01	4	Picture	arrow_stay	203540	19461	1	2532	1	19170	2500	other	0
sub01	4	Picture	cross_default	206073	21993	1	1733	1	21670	1670	other	0
sub01	4	Picture	arrow_left	207806	23726	1	2533	1	23340	2500	other	0
sub01	4	Picture	cross_default	210338	26259	1	1733	1	25840	1670	other	0
sub01	4	Picture	arrow_left	212071	27991	1	2533	1	27510	2500	other	0
sub01	4	Picture	cross_default	214604	30524	1	2533	1	30010	2500	other	0
sub01	4	Picture	arrow_switch	217136	33057	1	2532	1	32510	2500	other	0
sub01	4	Picture	cross_respond	219669	35589	1	2533	1	35010	2500	other	0
sub01	4	Picture	cross_wait	222201	38122	1	1999	1	37510	next	hit	49
sub01	4	Response	2	224125	40045	1
sub01	4A	Picture	correct	224201	0	1	2133	1	0	2000	other	0
sub01	5	Picture	cross_default	226467	0	1	10130	1	0	10000	other	0
sub01	5	Picture	arrow_left	236597	10130	1	2533	1	10000	2500	other	0
sub01	5	Picture	cross_default	239129	12663	1	2533	1	12500	2500	other	0
sub01	5	Picture	cross_default	241662	15195	1	2533	1	15000	2500	other	0
sub01	5	Picture	cross_default	244194	17728	1	1733	1	17500	1670	other	0
sub01	5	Picture	cross_default	245927	19461	1	2533	1	19170	2500	other	0
sub01	5	Picture	cross_default	248460	21993	1	1733	1	21670	1670	other	0
sub01	5	Picture	cross_default	250193	23726	1	2533	1	23340	2500	other	0
sub01	5	Picture	cross_default	252725	26259	1	1733	1	25840	1670	other	0
sub01	5	Picture	cross_default	254458	27991	1	2533	1	27510	2500	other	0
sub01	5	Picture	cross_default	256991	30524	1	2533	1	30010	2500	other	0
sub01	5	Picture	arrow_stay	259523	33056	1	2533	1	32510	2500	other	0
sub01	5	Picture	cross_respond	262056	35589	1	2532	1	35010	2500	other	0
sub01	5	Picture	cross_wait	264588	38121	1	933	1	37510	next	hit	65
sub01	5	Response	1	265485	39018	1
sub01	5A	Picture	correct	265521	0	1	2133	1	0	2000	other	0
sub01	6	Picture	cross_default	267787	0	1	10130	1	0	10000	other	0
sub01	6	Picture	arrow_left	277917	10130	1	2533	1	10000	2500	other	0
sub01	6	Picture	cross_default	280450	12663	1	2533	1	12500	2500	other	0
sub01	6	Picture	cross_default	282982	15195	1	2533	1	15000	2500	other	0
sub01	6	Picture	cross_default	285515	17728	1	1733	1	17500	1670	other	0
sub01	6	Picture	cross_default	287248	19461	1	2533	1	19170	2500	other	0
sub01	6	Picture	cross_default	289780	21993	1	1733	1	21670	1670	other	0
sub01	6	Picture	cross_default	291513	23726	1	2533	1	23340	2500	other	0
sub01	6	Picture	cross_default	294046	26259	1	1733	1	25840	1670	other	0
sub01	6	Picture	cross_default	295779	27991	1	2532	1	27510	2500	other	0
sub01	6	Picture	cross_default	298311	30524	1	2533	1	30010	2500	other	0
sub01	6	Picture	arrow_stay	300844	33056	1	2533	1	32510	2500	other	0
sub01	6	Picture	cross_respond	303376	35589	1	2533	1	35010	2500	other	0
sub01	6	Picture	cross_wait	305909	38122	1	400	1	37510	next	hit	81
sub01	6	Response	1	306205	38417	1
sub01	6A	Picture	correct	306309	0	1	2133	1	0	2000	other	0
sub01	7	Picture	cross_default	308575	0	1	10130	1	0	10000	other	0
sub01	7	Picture	arrow_left	318705	10130	1	2533	1	10000	2500	other	0
sub01	7	Picture	cross_default	321237	12663	1	2533	1	12500	2500	other	0
sub01	7	Picture	cross_default	323770	15195	1	2532	1	15000	2500	other	0
sub01	7	Picture	cross_default	326303	17728	1	1733	1	17500	1670	other	0
sub01	7	Picture	cross_default	328035	19461	1	2532	1	19170	2500	other	0
sub01	7	Picture	cross_default	330568	21993	1	1733	1	21670	1670	other	0
sub01	7	Picture	cross_default	332301	23726	1	2533	1	23340	2500	other	0
sub01	7	Picture	cross_default	334833	26259	1	1733	1	25840	1670	other	0
sub01	7	Picture	cross_default	336566	27991	1	2533	1	27510	2500	other	0
sub01	7	Picture	cross_default	339099	30524	1	2533	1	30010	2500	other	0
sub01	7	Picture	arrow_switch	341631	33056	1	2533	1	32510	2500	other	0
sub01	7	Picture	cross_respond	344164	35589	1	2533	1	35010	2500	other	0
sub01	7	Picture	cross_wait	346696	38121	1	267	1	37510	next	hit	97
sub01	7	Response	2	346844	38269	1
sub01	7A	Picture	correct	346963	0	1	2133	1	0	2000	other	0
sub01	8	Picture	cross_default	349229	0	1	10130	1	0	10000	other	0
sub01	8	Picture	arrow_left	359359	10130	1	2533	1	10000	2500	other	0
sub01	8	Picture	cross_default	361892	12663	1	2533	1	12500	2500	other	0
sub01	8	Picture	arrow_stay	364424	15195	1	2533	1	15000	2500	other	0
sub01	8	Picture	cross_default	366957	17728	1	1733	1	17500	1670	other	0
sub01	8	Picture	arrow_switch	368690	19461	1	2533	1	19170	2500	other	0
