Scenario - bike_pilot_block
Logfile written - 09/16/2019 08:25:59

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

sub04	1	Picture	instruct	10133	0	1	20261	1	0	next	other	0
sub04	1	Response	1	30343	20210	1
sub04	2	Picture	cross_start	30394	0	1	10130	1	0	10000	other	0
sub04	2	Picture	arrow_right	40524	10130	1	2533	1	10000	2500	other	0
sub04	2	Picture	cross_default	43056	12663	1	3866	1	12500	3750	other	0
sub04	2	Picture	cross_default	46922	16528	1	2532	1	16250	2500	other	0
sub04	2	Picture	cross_default	49454	19061	1	2533	1	18750	2500	other	0
sub04	2	Picture	cross_default	51987	21593	1	2533	1	21250	2500	other	0
sub04	2	Picture	cross_default	54519	24126	1	2532	1	23750	2500	other	0
sub04	2	Picture	cross_default	57052	26658	1	2533	1	26250	2500	other	0
sub04	2	Picture	cross_default	59585	29191	1	3866	1	28750	3750	other	0
sub04	2	Picture	arrow_switch	63450	33057	1	2533	1	32500	2500	other	0
sub04	2	Picture	cross_respond	65983	35589	1	2532	1	35000	2500	other	0
sub04	2	Picture	cross_wait	68515	38122	1	4265	1	37500	next	hit	15
sub04	2	Response	1	72663	42269	1
sub04	2A	Picture	correct	72780	0	1	2133	1	0	2000	other	0
sub04	3	Picture	cross_start	75046	0	1	10130	1	0	10000	other	0
sub04	3	Picture	arrow_right	85177	10130	1	2533	1	10000	2500	other	0
sub04	3	Picture	cross_default	87709	12663	1	3866	1	12500	3750	other	0
sub04	3	Picture	cross_default	91575	16528	1	2533	1	16250	2500	other	0
sub04	3	Picture	cross_default	94107	19061	1	2533	1	18750	2500	other	0
sub04	3	Picture	cross_default	96640	21593	1	2533	1	21250	2500	other	0
sub04	3	Picture	cross_default	99172	24126	1	2533	1	23750	2500	other	0
sub04	3	Picture	cross_default	101705	26659	1	2533	1	26250	2500	other	0
sub04	3	Picture	cross_default	104237	29191	1	3866	1	28750	3750	other	0
sub04	3	Picture	arrow_switch	108103	33057	1	2533	1	32500	2500	other	0
sub04	3	Picture	cross_respond	110636	35589	1	2533	1	35000	2500	other	0
sub04	3	Picture	cross_wait	113168	38122	1	6798	1	37500	next	hit	29
sub04	3	Response	1	119862	44815	1
sub04	3A	Picture	correct	119966	0	1	2133	1	0	2000	other	0
sub04	4	Picture	cross_start	122232	0	1	10130	1	0	10000	other	0
sub04	4	Picture	arrow_right	132362	10130	1	2533	1	10000	2500	other	0
sub04	4	Picture	cross_default	134895	12663	1	3866	1	12500	3750	other	0
sub04	4	Picture	cross_default	138760	16528	1	2533	1	16250	2500	other	0
sub04	4	Picture	cross_default	141293	19061	1	2533	1	18750	2500	other	0
sub04	4	Picture	cross_default	143825	21593	1	2533	1	21250	2500	other	0
sub04	4	Picture	cross_default	146358	24126	1	2533	1	23750	2500	other	0
sub04	4	Picture	cross_default	148890	26658	1	2533	1	26250	2500	other	0
sub04	4	Picture	cross_default	151423	29191	1	3865	1	28750	3750	other	0
sub04	4	Picture	arrow_stay	155288	33056	1	2532	1	32500	2500	other	0
sub04	4	Picture	cross_respond	157821	35589	1	2533	1	35000	2500	other	0
sub04	4	Picture	cross_wait	160354	38122	1	3732	1	37500	next	hit	43
sub04	4	Response	2	164022	41790	1
sub04	4A	Picture	correct	164086	0	1	2133	1	0	2000	other	0
sub04	5	Picture	cross_start	166352	0	1	10130	1	0	10000	other	0
sub04	5	Picture	arrow_left	176482	10130	1	2533	1	10000	2500	other	0
sub04	5	Picture	cross_default	179015	12663	1	3865	1	12500	3750	other	0
sub04	5	Picture	arrow_right	182880	16528	1	2533	1	16250	2500	other	0
sub04	5	Picture	cross_default	185413	19061	1	2532	1	18750	2500	other	0
sub04	5	Picture	arrow_stay	187945	21593	1	2533	1	21250	2500	other	0
sub04	5	Picture	cross_default	190478	24126	1	2532	1	23750	2500	other	0
sub04	5	Picture	arrow_stay	193010	26658	1	2533	1	26250	2500	other	0
sub04	5	Picture	cross_default	195543	29191	1	3865	1	28750	3750	other	0
sub04	5	Picture	arrow_switch	199408	33056	1	2533	1	32500	2500	other	0
sub04	5	Picture	cross_respond	201941	35589	1	2533	1	35000	2500	other	0
sub04	5	Picture	cross_wait	204473	38122	1	4532	1	37500	next	hit	57
sub04	5	Response	2	208981	42630	1
sub04	5A	Picture	correct	209005	0	1	2133	1	0	2000	other	0
sub04	6	Picture	cross_start	211271	0	1	10130	1	0	10000	other	0
sub04	6	Picture	arrow_left	221401	10130	1	2533	1	10000	2500	other	0
sub04	6	Picture	cross_default	223934	12663	1	3865	1	12500	3750	other	0
sub04	6	Picture	cross_default	227800	16528	1	2533	1	16250	2500	other	0
sub04	6	Picture	cross_default	230332	19061	1	2533	1	18750	2500	other	0
sub04	6	Picture	cross_default	232865	21593	1	2532	1	21250	2500	other	0
sub04	6	Picture	cross_default	235397	24126	1	2533	1	23750	2500	other	0
sub04	6	Picture	cross_default	237930	26658	1	2533	1	26250	2500	other	0
sub04	6	Picture	cross_default	240462	29191	1	3865	1	28750	3750	other	0
