Scenario - bike_pilot_practice
Logfile written - 09/16/2019 08:10:22

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

sub04	1	Picture	instruct	10133	0	1	40121	1	0	next	other	0
sub04	1	Response	1	50109	39976	1
sub04	2	Picture	cross_start	50254	0	1	10130	1	0	10000	other	0
sub04	2	Picture	arrow_left	60384	10130	1	2533	1	10000	2500	other	0
sub04	2	Picture	cross_default	62917	12663	1	3866	1	12500	3750	other	0
sub04	2	Picture	cross_default	66782	16528	1	2533	1	16250	2500	other	0
sub04	2	Picture	cross_default	69315	19061	1	2533	1	18750	2500	other	0
sub04	2	Picture	cross_default	71847	21593	1	2533	1	21250	2500	other	0
sub04	2	Picture	cross_default	74380	24126	1	2532	1	23750	2500	other	0
sub04	2	Picture	cross_default	76912	26658	1	2533	1	26250	2500	other	0
sub04	2	Picture	cross_default	79445	29191	1	3866	1	28750	3750	other	0
sub04	2	Picture	arrow_stay	83311	33057	1	2532	1	32500	2500	other	0
sub04	2	Picture	cross_respond	85843	35589	1	2533	1	35000	2500	other	0
sub04	2	Picture	cross_wait	88376	38122	1	6665	1	37500	next	miss	0
sub04	2	Response	2	94989	44735	1
sub04	2A	Picture	incorrect	95040	0	1	2133	1	0	2000	other	0
sub04	3	Picture	cross_start	97306	0	1	10130	1	0	10000	other	0
sub04	3	Picture	arrow_left	107437	10130	1	2533	1	10000	2500	other	0
sub04	3	Picture	cross_default	109969	12663	1	3865	1	12500	3750	other	0
sub04	3	Picture	arrow_left	113835	16528	1	2533	1	16250	2500	other	0
sub04	3	Picture	cross_default	116367	19061	1	2533	1	18750	2500	other	0
sub04	3	Picture	arrow_switch	118900	21593	1	2533	1	21250	2500	other	0
sub04	3	Picture	cross_default	121432	24126	1	2533	1	23750	2500	other	0
sub04	3	Picture	arrow_right	123965	26658	1	2532	1	26250	2500	other	0
sub04	3	Picture	cross_default	126497	29191	1	3866	1	28750	3750	other	0
sub04	3	Picture	arrow_switch	130363	33056	1	2533	1	32500	2500	other	0
sub04	3	Picture	cross_respond	132895	35589	1	2533	1	35000	2500	other	0
sub04	3	Picture	cross_wait	135428	38122	1	5065	1	37500	next	miss	0
sub04	3	Response	1	140428	43122	1
sub04	3A	Picture	incorrect	140493	0	1	2133	1	0	2000	other	0
sub04	4	Picture	cross_start	142759	0	1	10130	1	0	10000	other	0
sub04	4	Picture	arrow_right	152889	10130	1	2533	1	10000	2500	other	0
sub04	4	Picture	cross_default	155422	12663	1	3865	1	12500	3750	other	0
sub04	4	Picture	arrow_left	159287	16528	1	2533	1	16250	2500	other	0
sub04	4	Picture	cross_default	161820	19061	1	2533	1	18750	2500	other	0
sub04	4	Picture	arrow_switch	164352	21593	1	2533	1	21250	2500	other	0
sub04	4	Picture	cross_default	166885	24126	1	2533	1	23750	2500	other	0
sub04	4	Picture	arrow_left	169417	26658	1	2533	1	26250	2500	other	0
sub04	4	Picture	cross_default	171950	29191	1	3866	1	28750	3750	other	0
sub04	4	Picture	arrow_stay	175816	33057	1	2532	1	32500	2500	other	0
sub04	4	Picture	cross_respond	178348	35589	1	2533	1	35000	2500	other	0
sub04	4	Picture	cross_wait	180881	38122	1	8397	1	37500	next	hit	43
sub04	4	Response	2	189148	46389	1
sub04	4A	Picture	correct	189278	0	1	2133	1	0	2000	other	0
sub04	5	Picture	cross_start	191544	0	1	10130	1	0	10000	other	0
