Scenario - bike_pilot_block
Logfile written - 09/11/2019 15:25:11

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

corinne	1	Picture	instruct	10133	0	1	56116	1	0	next	other	0
corinne	1	Response	1	66191	56058	1
corinne	2	Picture	cross_start	66249	0	1	10130	1	0	10000	other	0
corinne	2	Picture	32	76380	10130	1	2533	1	10000	2500	other	0
corinne	2	Picture	cross_default	78912	12663	1	3866	1	12500	3750	other	0
corinne	2	Picture	dis_1	82778	16528	1	2533	1	16250	2500	other	0
corinne	2	Picture	cross_default	85310	19061	1	2533	1	18750	2500	other	0
corinne	2	Picture	dis_2	87843	21593	1	2533	1	21250	2500	other	0
corinne	2	Picture	cross_default	90375	24126	1	2533	1	23750	2500	other	0
corinne	2	Picture	dis_3	92908	26659	1	2533	1	26250	2500	other	0
corinne	2	Picture	cross_default	95440	29191	1	3866	1	28750	3750	other	0
corinne	2	Picture	70	99306	33057	1	2533	1	32500	2500	other	0
corinne	2	Picture	cross_respond	101839	35589	1	2533	1	35000	2500	other	0
corinne	2	Picture	cross_wait	104371	38122	1	6665	1	37500	next	hit	15
corinne	2	Response	2	110911	44661	1
corinne	2A	Picture	correct	111036	0	1	2133	1	0	2000	other	0
corinne	3	Picture	cross_start	113302	0	1	10130	1	0	10000	other	0
corinne	3	Picture	14	123432	10130	1	2533	1	10000	2500	other	0
corinne	3	Picture	cross_default	125965	12663	1	3865	1	12500	3750	other	0
corinne	3	Picture	dis_1	129830	16528	1	2533	1	16250	2500	other	0
corinne	3	Picture	cross_default	132363	19061	1	2532	1	18750	2500	other	0
corinne	3	Picture	dis_2	134895	21593	1	2533	1	21250	2500	other	0
corinne	3	Picture	cross_default	137428	24126	1	2533	1	23750	2500	other	0
corinne	3	Picture	dis_3	139960	26659	1	2533	1	26250	2500	other	0
corinne	3	Picture	cross_default	142493	29191	1	3865	1	28750	3750	other	0
corinne	3	Picture	70	146358	33056	1	2533	1	32500	2500	other	0
corinne	3	Picture	cross_respond	148891	35589	1	2533	1	35000	2500	other	0
corinne	3	Picture	cross_wait	151424	38122	1	6798	1	37500	next	hit	29
corinne	3	Response	1	158110	44808	1
corinne	3A	Picture	correct	158221	0	1	2133	1	0	2000	other	0
corinne	4	Picture	cross_start	160487	0	1	10130	1	0	10000	other	0
corinne	4	Picture	11	170618	10130	1	2533	1	10000	2500	other	0
corinne	4	Picture	cross_default	173150	12663	1	3865	1	12500	3750	other	0
corinne	4	Picture	dis_1	177016	16528	1	2533	1	16250	2500	other	0
corinne	4	Picture	cross_default	179548	19061	1	2533	1	18750	2500	other	0
corinne	4	Picture	dis_2	182081	21593	1	2532	1	21250	2500	other	0
corinne	4	Picture	cross_default	184613	24126	1	2533	1	23750	2500	other	0
corinne	4	Picture	dis_3	187146	26659	1	2533	1	26250	2500	other	0
corinne	4	Picture	cross_default	189679	29191	1	3865	1	28750	3750	other	0
corinne	4	Picture	60	193544	33056	1	2533	1	32500	2500	other	0
corinne	4	Picture	cross_respond	196077	35589	1	2533	1	35000	2500	other	0
corinne	4	Picture	cross_wait	198609	38122	1	6531	1	37500	next	hit	43
corinne	4	Response	1	205070	44582	1
corinne	4A	Picture	correct	205140	0	1	2133	1	0	2000	other	0
corinne	5	Picture	cross_start	207406	0	1	10130	1	0	10000	other	0
corinne	5	Picture	13	217537	10130	1	2533	1	10000	2500	other	0
corinne	5	Picture	cross_default	220069	12663	1	3865	1	12500	3750	other	0
corinne	5	Picture	dis_1	223935	16528	1	2533	1	16250	2500	other	0
corinne	5	Picture	cross_default	226467	19061	1	2533	1	18750	2500	other	0
corinne	5	Picture	dis_2	229000	21593	1	2533	1	21250	2500	other	0
corinne	5	Picture	cross_default	231532	24126	1	2533	1	23750	2500	other	0
corinne	5	Picture	dis_3	234065	26659	1	2533	1	26250	2500	other	0
corinne	5	Picture	cross_default	236598	29191	1	3866	1	28750	3750	other	0
corinne	5	Picture	60	240463	33057	1	2533	1	32500	2500	other	0
corinne	5	Picture	cross_respond	242996	35589	1	2533	1	35000	2500	other	0
corinne	5	Picture	cross_wait	245528	38122	1	8531	1	37500	next	hit	57
corinne	5	Response	2	254030	46623	1
corinne	5A	Picture	correct	254059	0	1	2133	1	0	2000	other	0
corinne	6	Picture	cross_start	256325	0	1	10130	1	0	10000	other	0
corinne	6	Picture	34	266455	10130	1	2533	1	10000	2500	other	0
corinne	6	Picture	cross_default	268988	12663	1	3865	1	12500	3750	other	0
corinne	6	Picture	dis_1	272853	16528	1	2533	1	16250	2500	other	0
corinne	6	Picture	cross_default	275386	19061	1	2533	1	18750	2500	other	0
corinne	6	Picture	dis_2	277918	21594	1	2532	1	21250	2500	other	0
corinne	6	Picture	cross_default	280451	24126	1	2533	1	23750	2500	other	0
corinne	6	Picture	dis_3	282983	26659	1	2533	1	26250	2500	other	0
corinne	6	Picture	cross_default	285516	29191	1	3866	1	28750	3750	other	0
corinne	6	Picture	70	289382	33057	1	2533	1	32500	2500	other	0
corinne	6	Picture	cross_respond	291914	35589	1	2532	1	35000	2500	other	0
corinne	6	Picture	cross_wait	294447	38122	1	6931	1	37500	next	hit	71
corinne	6	Response	1	301309	44985	1
corinne	6A	Picture	correct	301378	0	1	2133	1	0	2000	other	0
corinne	7	Picture	cross_start	303644	0	1	10130	1	0	10000	other	0
corinne	7	Picture	33	313774	10130	1	2532	1	10000	2500	other	0
corinne	7	Picture	cross_default	316307	12663	1	3866	1	12500	3750	other	0
corinne	7	Picture	dis_1	320172	16528	1	2533	1	16250	2500	other	0
corinne	7	Picture	cross_default	322705	19061	1	2533	1	18750	2500	other	0
corinne	7	Picture	dis_2	325237	21593	1	2533	1	21250	2500	other	0
corinne	7	Picture	cross_default	327770	24126	1	2532	1	23750	2500	other	0
corinne	7	Picture	dis_3	330302	26659	1	2533	1	26250	2500	other	0
corinne	7	Picture	cross_default	332835	29191	1	3865	1	28750	3750	other	0
corinne	7	Picture	60	336700	33057	1	2533	1	32500	2500	other	0
corinne	7	Picture	cross_respond	339233	35589	1	2533	1	35000	2500	other	0
corinne	7	Picture	cross_wait	341765	38122	1	7331	1	37500	next	hit	85
corinne	7	Response	2	349069	45425	1
corinne	7A	Picture	correct	349097	0	1	2133	1	0	2000	other	0
corinne	8	Picture	cross_start	351363	0	1	10130	1	0	10000	other	0
corinne	8	Picture	32	361493	10130	1	2533	1	10000	2500	other	0
corinne	8	Picture	cross_default	364025	12663	1	3866	1	12500	3750	other	0
corinne	8	Picture	dis_1	367891	16528	1	2533	1	16250	2500	other	0
corinne	8	Picture	cross_default	370423	19061	1	2533	1	18750	2500	other	0
corinne	8	Picture	dis_2	372956	21593	1	2533	1	21250	2500	other	0
corinne	8	Picture	cross_default	375489	24126	1	2533	1	23750	2500	other	0
corinne	8	Picture	dis_3	378021	26659	1	2532	1	26250	2500	other	0
corinne	8	Picture	cross_default	380554	29191	1	3866	1	28750	3750	other	0
corinne	8	Picture	70	384419	33057	1	2533	1	32500	2500	other	0
corinne	8	Picture	cross_respond	386952	35589	1	2533	1	35000	2500	other	0
corinne	8	Picture	cross_wait	389484	38122	1	16928	1	37500	next	hit	99
corinne	8	Response	2	406269	54906	1
corinne	8A	Picture	correct	406413	0	1	2133	1	0	2000	other	0
corinne	9	Picture	cross_start	408678	0	1	10130	1	0	10000	other	0
corinne	9	Picture	13	418809	10130	1	2533	1	10000	2500	other	0
corinne	9	Picture	cross_default	421341	12663	1	3865	1	12500	3750	other	0
corinne	9	Picture	dis_1	425207	16528	1	2533	1	16250	2500	other	0
corinne	9	Picture	cross_default	427739	19061	1	2533	1	18750	2500	other	0
corinne	9	Picture	dis_2	430272	21594	1	2533	1	21250	2500	other	0
corinne	9	Picture	cross_default	432805	24126	1	2533	1	23750	2500	other	0
corinne	9	Picture	dis_3	435337	26659	1	2532	1	26250	2500	other	0
corinne	9	Picture	cross_default	437870	29191	1	3865	1	28750	3750	other	0
corinne	9	Picture	60	441735	33057	1	2533	1	32500	2500	other	0
corinne	9	Picture	cross_respond	444268	35589	1	2533	1	35000	2500	other	0
corinne	9	Picture	cross_wait	446800	38122	1	16528	1	37500	next	hit	113
corinne	9	Response	2	463228	54550	1
corinne	9A	Picture	correct	463329	0	1	2133	1	0	2000	other	0
corinne	10	Picture	cross_start	465595	0	1	10130	1	0	10000	other	0
corinne	10	Picture	11	475725	10130	1	2533	1	10000	2500	other	0
corinne	10	Picture	cross_default	478257	12663	1	3865	1	12500	3750	other	0
corinne	10	Picture	dis_1	482123	16528	1	2533	1	16250	2500	other	0
corinne	10	Picture	cross_default	484655	19061	1	2533	1	18750	2500	other	0
corinne	10	Picture	dis_2	487188	21593	1	2533	1	21250	2500	other	0
corinne	10	Picture	cross_default	489721	24126	1	2533	1	23750	2500	other	0
corinne	10	Picture	dis_3	492253	26659	1	2533	1	26250	2500	other	0
corinne	10	Picture	cross_default	494786	29191	1	3866	1	28750	3750	other	0
corinne	10	Picture	60	498651	33057	1	2533	1	32500	2500	other	0
corinne	10	Picture	cross_respond	501184	35589	1	2533	1	35000	2500	other	0
corinne	10	Picture	cross_wait	503716	38122	1	11063	1	37500	next	hit	127
corinne	10	Response	1	514668	49074	1
corinne	10A	Picture	correct	514780	0	1	2133	1	0	2000	other	0
