Scenario - bike_pilot_practice
Logfile written - 09/11/2019 15:07:26

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

corinne	1	Picture	instruct	10133	0	1	85707	1	0	next	other	0
corinne	1	Response	1	95775	85642	1
corinne	2	Picture	cross_start	95840	0	1	10130	1	0	10000	other	0
corinne	2	Picture	14	105970	10130	1	2533	1	10000	2500	other	0
corinne	2	Picture	cross_default	108503	12663	1	3866	1	12500	3750	other	0
corinne	2	Picture	dis_1	112369	16528	1	2533	1	16250	2500	other	0
corinne	2	Picture	cross_default	114901	19061	1	2533	1	18750	2500	other	0
corinne	2	Picture	dis_2	117434	21594	1	2666	1	21250	2500	other	0
corinne	2	Picture	cross_default	120099	24259	1	2533	1	23750	2500	other	0
corinne	2	Picture	dis_3	122632	26792	1	2533	1	26250	2500	other	0
corinne	2	Picture	cross_default	125165	29325	1	3865	1	28750	3750	other	0
corinne	2	Picture	70	129030	33190	1	2533	1	32500	2500	other	0
corinne	2	Picture	cross_respond	131563	35722	1	2533	1	35000	2500	other	0
corinne	2	Picture	cross_wait	134095	38255	1	24526	1	37500	next	hit	15
corinne	2	Response	1	158575	62735	1
corinne	2A	Picture	correct	158621	0	1	2133	1	0	2000	other	0
corinne	3	Picture	cross_start	160887	0	1	10130	1	0	10000	other	0
corinne	3	Picture	33	171017	10130	1	2533	1	10000	2500	other	0
corinne	3	Picture	cross_default	173550	12663	1	3865	1	12500	3750	other	0
corinne	3	Picture	dis_1	177415	16528	1	2533	1	16250	2500	other	0
corinne	3	Picture	cross_default	179948	19061	1	2533	1	18750	2500	other	0
corinne	3	Picture	dis_2	182481	21594	1	2533	1	21250	2500	other	0
corinne	3	Picture	cross_default	185013	24126	1	2533	1	23750	2500	other	0
corinne	3	Picture	dis_3	187546	26659	1	2532	1	26250	2500	other	0
corinne	3	Picture	cross_default	190078	29191	1	3866	1	28750	3750	other	0
corinne	3	Picture	60	193944	33057	1	2533	1	32500	2500	other	0
corinne	3	Picture	cross_respond	196476	35589	1	2532	1	35000	2500	other	0
corinne	3	Picture	cross_wait	199009	38122	1	26259	1	37500	next	hit	29
corinne	3	Response	2	225214	64327	1
corinne	3A	Picture	correct	225267	0	1	2133	1	0	2000	other	0
corinne	4	Picture	cross_start	227534	0	1	10130	1	0	10000	other	0
corinne	4	Picture	22	237664	10130	1	2533	1	10000	2500	other	0
corinne	4	Picture	cross_default	240196	12663	1	3865	1	12500	3750	other	0
corinne	4	Picture	dis_1	244062	16528	1	2533	1	16250	2500	other	0
corinne	4	Picture	cross_default	246594	19061	1	2533	1	18750	2500	other	0
corinne	4	Picture	dis_2	249127	21593	1	2533	1	21250	2500	other	0
corinne	4	Picture	cross_default	251660	24126	1	2532	1	23750	2500	other	0
corinne	4	Picture	dis_3	254192	26658	1	2533	1	26250	2500	other	0
