Scenario - bike_pilot_practice
Logfile written - 09/10/2019 18:33:54

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

hesham01	1	Picture	instruct	10133	0	1	45585	1	0	next	other	0
hesham01	1	Response	1	55615	45482	1
hesham01	2	Picture	cross_start	55718	0	1	10130	1	0	10000	other	0
hesham01	2	Picture	11	65848	10130	1	2533	1	10000	2500	other	0
hesham01	2	Picture	cross_default	68381	12662	1	3865	1	12500	3750	other	0
hesham01	2	Picture	dis_1	72246	16528	1	2532	1	16250	2500	other	0
hesham01	2	Picture	cross_default	74778	19060	1	2533	1	18750	2500	other	0
hesham01	2	Picture	dis_2	77311	21593	1	2533	1	21250	2500	other	0
hesham01	2	Picture	cross_default	79843	24125	1	2532	1	23750	2500	other	0
hesham01	2	Picture	dis_3	82376	26658	1	2532	1	26250	2500	other	0
hesham01	2	Picture	cross_default	84908	29190	1	3865	1	28750	3750	other	0
hesham01	2	Picture	60	88774	33056	1	2532	1	32500	2500	other	0
hesham01	2	Picture	cross_respond	91306	35588	1	2532	1	35000	2500	other	0
hesham01	2	Picture	cross_wait	93839	38121	1	23992	1	37500	next	hit	15
hesham01	2	Response	1	117774	62056	1
hesham01	2A	Picture	correct	117831	0	1	2133	1	0	2000	other	0
hesham01	3	Picture	cross_start	120097	0	1	10130	1	0	10000	other	0
hesham01	3	Picture	13	130227	10130	1	2533	1	10000	2500	other	0
hesham01	3	Picture	cross_default	132759	12663	1	3865	1	12500	3750	other	0
hesham01	3	Picture	dis_1	136625	16528	1	2533	1	16250	2500	other	0
hesham01	3	Picture	cross_default	139157	19060	1	2532	1	18750	2500	other	0
hesham01	3	Picture	dis_2	141690	21593	1	2533	1	21250	2500	other	0
hesham01	3	Picture	cross_default	144222	24125	1	2533	1	23750	2500	other	0
hesham01	3	Picture	dis_3	146755	26658	1	2532	1	26250	2500	other	0
