Scenario - bike_pilot_practice
Logfile written - 09/12/2019 12:35:40

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

joey	1	Picture	instruct	10133	0	1	79174	1	0	next	other	0
joey	1	Response	1	89261	79128	1
joey	2	Picture	cross_start	89307	0	1	10130	1	0	10000	other	0
joey	2	Picture	24	99437	10130	1	2533	1	10000	2500	other	0
joey	2	Picture	cross_default	101970	12663	1	3865	1	12500	3750	other	0
joey	2	Picture	dis_1	105835	16528	1	2533	1	16250	2500	other	0
joey	2	Picture	cross_default	108368	19060	1	2532	1	18750	2500	other	0
joey	2	Picture	dis_2	110900	21593	1	2532	1	21250	2500	other	0
joey	2	Picture	cross_default	113433	24125	1	2533	1	23750	2500	other	0
joey	2	Picture	dis_3	115965	26658	1	2532	1	26250	2500	other	0
joey	2	Picture	cross_default	118498	29190	1	3865	1	28750	3750	other	0
joey	2	Picture	70	122363	33056	1	2533	1	32500	2500	other	0
joey	2	Picture	cross_respond	124896	35588	1	2532	1	35000	2500	other	0
joey	2	Picture	cross_wait	127428	38121	1	9597	1	37500	next	hit	15
joey	2	Response	1	136940	47633	1
joey	2A	Picture	correct	137025	0	1	2133	1	0	2000	other	0
joey	3	Picture	cross_start	139291	0	1	10130	1	0	10000	other	0
joey	3	Picture	22	149421	10130	1	2532	1	10000	2500	other	0
joey	3	Picture	cross_default	151953	12663	1	3865	1	12500	3750	other	0
joey	3	Picture	dis_1	155819	16528	1	2532	1	16250	2500	other	0
joey	3	Picture	cross_default	158351	19060	1	2533	1	18750	2500	other	0
joey	3	Picture	dis_2	160884	21593	1	2533	1	21250	2500	other	0
joey	3	Picture	cross_default	163416	24126	1	2532	1	23750	2500	other	0
joey	3	Picture	dis_3	165949	26658	1	2532	1	26250	2500	other	0
joey	3	Picture	cross_default	168481	29190	1	3865	1	28750	3750	other	0
joey	3	Picture	70	172347	33056	1	2532	1	32500	2500	other	0
joey	3	Picture	cross_respond	174879	35588	1	2532	1	35000	2500	other	0
joey	3	Picture	cross_wait	177412	38121	1	8531	1	37500	next	hit	29
joey	3	Response	2	185899	46609	1
joey	3A	Picture	correct	185942	0	1	2133	1	0	2000	other	0
joey	4	Picture	cross_start	188208	0	1	10130	1	0	10000	other	0
joey	4	Picture	23	198338	10130	1	2532	1	10000	2500	other	0
joey	4	Picture	cross_default	200871	12663	1	3865	1	12500	3750	other	0
joey	4	Picture	dis_1	204736	16528	1	2533	1	16250	2500	other	0
joey	4	Picture	cross_default	207269	19060	1	2532	1	18750	2500	other	0
joey	4	Picture	dis_2	209801	21593	1	2532	1	21250	2500	other	0
joey	4	Picture	cross_default	212334	24125	1	2533	1	23750	2500	other	0
joey	4	Picture	dis_3	214866	26658	1	2532	1	26250	2500	other	0
joey	4	Picture	cross_default	217399	29190	1	3865	1	28750	3750	other	0
joey	4	Picture	60	221264	33056	1	2533	1	32500	2500	other	0
joey	4	Picture	cross_respond	223796	35588	1	2533	1	35000	2500	other	0
joey	4	Picture	cross_wait	226329	38121	1	6265	1	37500	next	miss	0
joey	4	Response	1	232458	44250	1
joey	4A	Picture	incorrect	232594	0	1	2133	1	0	2000	other	0
joey	5	Picture	cross_start	234859	0	1	10130	1	0	10000	other	0
joey	5	Picture	31	244990	10130	1	2532	1	10000	2500	other	0
joey	5	Picture	cross_default	247522	12663	1	3865	1	12500	3750	other	0
joey	5	Picture	dis_1	251387	16528	1	2532	1	16250	2500	other	0
joey	5	Picture	cross_default	253920	19060	1	2533	1	18750	2500	other	0
joey	5	Picture	dis_2	256452	21593	1	2532	1	21250	2500	other	0
joey	5	Picture	cross_default	258985	24125	1	2533	1	23750	2500	other	0
joey	5	Picture	dis_3	261517	26658	1	2532	1	26250	2500	other	0
joey	5	Picture	cross_default	264050	29190	1	3865	1	28750	3750	other	0
joey	5	Picture	60	267915	33056	1	2533	1	32500	2500	other	0
joey	5	Picture	cross_respond	270448	35588	1	2533	1	35000	2500	other	0
joey	5	Picture	cross_wait	272980	38121	1	7464	1	37500	next	hit	57
joey	5	Response	1	280298	45438	1
joey	5A	Picture	correct	280445	0	1	2133	1	0	2000	other	0
joey	6	Picture	cross_start	282711	0	1	10130	1	0	10000	other	0
joey	6	Picture	21	292840	10130	1	2533	1	10000	2500	other	0
joey	6	Picture	cross_default	295373	12663	1	3865	1	12500	3750	other	0
joey	6	Picture	dis_1	299238	16528	1	2532	1	16250	2500	other	0
joey	6	Picture	cross_default	301771	19060	1	2533	1	18750	2500	other	0
joey	6	Picture	dis_2	304303	21593	1	2532	1	21250	2500	other	0
joey	6	Picture	cross_default	306836	24125	1	2532	1	23750	2500	other	0
joey	6	Picture	dis_3	309368	26658	1	2533	1	26250	2500	other	0
joey	6	Picture	cross_default	311901	29190	1	3865	1	28750	3750	other	0
joey	6	Picture	60	315766	33056	1	2532	1	32500	2500	other	0
joey	6	Picture	cross_respond	318299	35588	1	2533	1	35000	2500	other	0
joey	6	Picture	cross_wait	320831	38121	1	6664	1	37500	next	miss	0
joey	6	Response	2	327417	44706	1
joey	6A	Picture	incorrect	327496	0	1	2133	1	0	2000	other	0
joey	7	Picture	cross_start	329762	0	1	10130	1	0	10000	other	0
joey	7	Picture	34	339892	10130	1	2532	1	10000	2500	other	0
joey	7	Picture	cross_default	342424	12662	1	3865	1	12500	3750	other	0
joey	7	Picture	dis_1	346290	16528	1	2532	1	16250	2500	other	0
joey	7	Picture	cross_default	348822	19060	1	2533	1	18750	2500	other	0
joey	7	Picture	dis_2	351355	21593	1	2532	1	21250	2500	other	0
joey	7	Picture	cross_default	353887	24125	1	2532	1	23750	2500	other	0
joey	7	Picture	dis_3	356420	26658	1	2533	1	26250	2500	other	0
joey	7	Picture	cross_default	358952	29190	1	3865	1	28750	3750	other	0
joey	7	Picture	70	362818	33056	1	2532	1	32500	2500	other	0
joey	7	Picture	cross_respond	365350	35588	1	2533	1	35000	2500	other	0
joey	7	Picture	cross_wait	367883	38121	1	12929	1	37500	next	hit	85
joey	7	Response	1	380776	51014	1
joey	7A	Picture	correct	380812	0	1	2133	1	0	2000	other	0
joey	8	Picture	cross_start	383078	0	1	10130	1	0	10000	other	0
joey	8	Picture	12	393208	10130	1	2533	1	10000	2500	other	0
joey	8	Picture	cross_default	395740	12663	1	3865	1	12500	3750	other	0
joey	8	Picture	dis_1	399606	16528	1	2533	1	16250	2500	other	0
joey	8	Picture	cross_default	402138	19060	1	2533	1	18750	2500	other	0
joey	8	Picture	dis_2	404671	21593	1	2533	1	21250	2500	other	0
joey	8	Picture	cross_default	407203	24125	1	2532	1	23750	2500	other	0
joey	8	Picture	dis_3	409736	26658	1	2533	1	26250	2500	other	0
joey	8	Picture	cross_default	412268	29190	1	3865	1	28750	3750	other	0
joey	8	Picture	70	416133	33056	1	2533	1	32500	2500	other	0
joey	8	Picture	cross_respond	418666	35588	1	2533	1	35000	2500	other	0
joey	8	Picture	cross_wait	421198	38121	1	10930	1	37500	next	miss	0
joey	8	Response	1	432055	48977	1
joey	8A	Picture	incorrect	432128	0	1	2133	1	0	2000	other	0
joey	9	Picture	cross_start	434394	0	1	10130	1	0	10000	other	0
joey	9	Picture	23	444524	10130	1	2533	1	10000	2500	other	0
joey	9	Picture	cross_default	447057	12663	1	3865	1	12500	3750	other	0
joey	9	Picture	dis_1	450922	16528	1	2532	1	16250	2500	other	0
joey	9	Picture	cross_default	453455	19060	1	2533	1	18750	2500	other	0
joey	9	Picture	dis_2	455987	21593	1	2532	1	21250	2500	other	0
joey	9	Picture	cross_default	458520	24126	1	2532	1	23750	2500	other	0
joey	9	Picture	dis_3	461052	26658	1	2532	1	26250	2500	other	0
joey	9	Picture	cross_default	463584	29190	1	3866	1	28750	3750	other	0
joey	9	Picture	60	467450	33056	1	2532	1	32500	2500	other	0
joey	9	Picture	cross_respond	469982	35588	1	2533	1	35000	2500	other	0
joey	9	Picture	cross_wait	472515	38121	1	10397	1	37500	next	miss	0
joey	9	Response	1	482854	48460	1
joey	9A	Picture	incorrect	482911	0	1	2133	1	0	2000	other	0
joey	10	Picture	cross_start	485177	0	1	10130	1	0	10000	other	0
joey	10	Picture	21	495307	10130	1	2533	1	10000	2500	other	0
joey	10	Picture	cross_default	497840	12663	1	3865	1	12500	3750	other	0
joey	10	Picture	dis_1	501705	16528	1	2533	1	16250	2500	other	0
joey	10	Picture	cross_default	504238	19061	1	2533	1	18750	2500	other	0
joey	10	Picture	dis_2	506770	21593	1	2532	1	21250	2500	other	0
joey	10	Picture	cross_default	509303	24126	1	2532	1	23750	2500	other	0
joey	10	Picture	dis_3	511835	26658	1	2533	1	26250	2500	other	0
joey	10	Picture	cross_default	514368	29191	1	3865	1	28750	3750	other	0
joey	10	Picture	60	518233	33056	1	2533	1	32500	2500	other	0
joey	10	Picture	cross_respond	520766	35588	1	2532	1	35000	2500	other	0
joey	10	Picture	cross_wait	523298	38121	1	13729	1	37500	next	hit	127
