Scenario - bike_pilot_practice
Logfile written - 09/12/2019 16:26:07

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

sub01	1	Picture	instruct	10133	0	1	76643	1	0	next	other	0
sub01	1	Response	1	86737	76604	1
sub01	2	Picture	cross_default	86776	0	1	10130	1	0	10000	other	0
sub01	2	Picture	arrow_right	96906	10130	1	2533	1	10000	2500	other	0
sub01	2	Picture	cross_default	99439	12663	1	2532	1	12500	2500	other	0
sub01	2	Picture	cross_default	101971	15195	1	2533	1	15000	2500	other	0
sub01	2	Picture	cross_default	104504	17728	1	1733	1	17500	1670	other	0
sub01	2	Picture	cross_default	106237	19461	1	2532	1	19170	2500	other	0
sub01	2	Picture	cross_default	108769	21993	1	1733	1	21670	1670	other	0
sub01	2	Picture	cross_default	110502	23726	1	2533	1	23340	2500	other	0
sub01	2	Picture	cross_default	113035	26259	1	1733	1	25840	1670	other	0
sub01	2	Picture	cross_default	114768	27991	1	2533	1	27510	2500	other	0
sub01	2	Picture	cross_default	117300	30524	1	2533	1	30010	2500	other	0
sub01	2	Picture	arrow_stay	119833	33057	1	2532	1	32510	2500	other	0
sub01	2	Picture	cross_respond	122365	35589	1	2533	1	35010	2500	other	0
sub01	2	Picture	cross_wait	124898	38122	1	6131	1	37510	next	hit	17
sub01	2	Response	2	130976	44200	1
sub01	2A	Picture	correct	131029	0	1	2133	1	0	2000	other	0
sub01	3	Picture	cross_default	133295	0	1	10130	1	0	10000	other	0
sub01	3	Picture	arrow_left	143425	10130	1	2533	1	10000	2500	other	0
sub01	3	Picture	cross_default	145958	12663	1	2532	1	12500	2500	other	0
sub01	3	Picture	arrow_right	148490	15195	1	2533	1	15000	2500	other	0
sub01	3	Picture	cross_default	151023	17728	1	1733	1	17500	1670	other	0
sub01	3	Picture	arrow_left	152756	19461	1	2532	1	19170	2500	other	0
sub01	3	Picture	cross_default	155288	21993	1	1733	1	21670	1670	other	0
sub01	3	Picture	arrow_left	157021	23726	1	2533	1	23340	2500	other	0
sub01	3	Picture	cross_default	159554	26259	1	1733	1	25840	1670	other	0
sub01	3	Picture	arrow_left	161287	27991	1	2532	1	27510	2500	other	0
sub01	3	Picture	cross_default	163819	30524	1	2533	1	30010	2500	other	0
sub01	3	Picture	arrow_switch	166352	33056	1	2533	1	32510	2500	other	0
sub01	3	Picture	cross_respond	168884	35589	1	2533	1	35010	2500	other	0
sub01	3	Picture	cross_wait	171417	38122	1	5998	1	37510	next	hit	33
sub01	3	Response	2	177296	44001	1
sub01	3A	Picture	correct	177415	0	1	2133	1	0	2000	other	0
sub01	4	Picture	cross_default	179681	0	1	10130	1	0	10000	other	0
sub01	4	Picture	arrow_right	189811	10130	1	2533	1	10000	2500	other	0
sub01	4	Picture	cross_default	192344	12663	1	2532	1	12500	2500	other	0
sub01	4	Picture	cross_default	194876	15195	1	2533	1	15000	2500	other	0
sub01	4	Picture	cross_default	197409	17728	1	1733	1	17500	1670	other	0
sub01	4	Picture	cross_default	199142	19461	1	2533	1	19170	2500	other	0
sub01	4	Picture	cross_default	201674	21993	1	1733	1	21670	1670	other	0
sub01	4	Picture	cross_default	203407	23726	1	2533	1	23340	2500	other	0
sub01	4	Picture	cross_default	205939	26259	1	1733	1	25840	1670	other	0
