Scenario - bike_pilot_practice
Logfile written - 09/13/2019 09:47:30

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

sub02	1	Picture	instruct	10133	0	1	191941	1	0	next	other	0
sub02	1	Response	1	201966	191833	1
sub02	2	Picture	cross_start	202074	0	1	10130	1	0	10000	other	0
sub02	2	Picture	arrow_left	212204	10130	1	2533	1	10000	2500	other	0
sub02	2	Picture	cross_default	214737	12663	1	3865	1	12500	3750	other	0
sub02	2	Picture	arrow_right	218602	16528	1	2533	1	16250	2500	other	0
sub02	2	Picture	cross_default	221135	19061	1	2533	1	18750	2500	other	0
sub02	2	Picture	arrow_stay	223667	21593	1	2533	1	21250	2500	other	0
sub02	2	Picture	cross_default	226200	24126	1	2533	1	23750	2500	other	0
sub02	2	Picture	arrow_switch	228733	26659	1	2533	1	26250	2500	other	0
sub02	2	Picture	cross_default	231265	29191	1	3865	1	28750	3750	other	0
sub02	2	Picture	arrow_stay	235130	33057	1	2533	1	32500	2500	other	0
sub02	2	Picture	cross_respond	237663	35589	1	2533	1	35000	2500	other	0
sub02	2	Picture	cross_wait	240196	38122	1	5198	1	37500	next	hit	15
sub02	2	Response	1	245245	43171	1
sub02	2A	Picture	correct	245394	0	1	2133	1	0	2000	other	0
sub02	3	Picture	cross_start	247660	0	1	10130	1	0	10000	other	0
sub02	3	Picture	arrow_right	257790	10130	1	2533	1	10000	2500	other	0
sub02	3	Picture	cross_default	260323	12663	1	3865	1	12500	3750	other	0
sub02	3	Picture	cross_default	264188	16528	1	2533	1	16250	2500	other	0
sub02	3	Picture	cross_default	266721	19061	1	2533	1	18750	2500	other	0
sub02	3	Picture	cross_default	269253	21593	1	2533	1	21250	2500	other	0
sub02	3	Picture	cross_default	271786	24126	1	2533	1	23750	2500	other	0
sub02	3	Picture	cross_default	274319	26658	1	2532	1	26250	2500	other	0
sub02	3	Picture	cross_default	276851	29191	1	3866	1	28750	3750	other	0
sub02	3	Response	2	279245	31585	1
sub02	3	Picture	arrow_switch	280717	33057	1	2532	1	32500	2500	other	0
sub02	3	Picture	cross_respond	283249	35589	1	2533	1	35000	2500	other	0
sub02	3	Picture	cross_wait	285782	38122	1	13862	1	37500	next	miss	0
sub02	3	Response	2	299565	51905	1
sub02	3A	Picture	incorrect	299644	0	1	2133	1	0	2000	other	0
sub02	4	Picture	cross_start	301910	0	1	10130	1	0	10000	other	0
sub02	4	Picture	arrow_left	312040	10130	1	2532	1	10000	2500	other	0
sub02	4	Picture	cross_default	314573	12663	1	3866	1	12500	3750	other	0
sub02	4	Picture	cross_default	318438	16528	1	2533	1	16250	2500	other	0
sub02	4	Picture	cross_default	320971	19061	1	2532	1	18750	2500	other	0
sub02	4	Picture	cross_default	323503	21593	1	2533	1	21250	2500	other	0
sub02	4	Picture	cross_default	326036	24126	1	2533	1	23750	2500	other	0
sub02	4	Picture	cross_default	328569	26658	1	2533	1	26250	2500	other	0
sub02	4	Picture	cross_default	331101	29191	1	3865	1	28750	3750	other	0
sub02	4	Picture	arrow_stay	334967	33056	1	2533	1	32500	2500	other	0
sub02	4	Picture	cross_respond	337499	35589	1	2533	1	35000	2500	other	0
