Scenario - bike_pilot_block
Logfile written - 09/13/2019 10:44:08

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

sub03	1	Picture	instruct	10133	0	1	168481	1	0	next	other	0
sub03	1	Response	1	178466	168333	1
sub03	2	Picture	cross_start	178615	0	1	10130	1	0	10000	other	0
sub03	2	Picture	arrow_right	188745	10130	1	2533	1	10000	2500	other	0
sub03	2	Picture	cross_default	191278	12663	1	3866	1	12500	3750	other	0
sub03	2	Picture	cross_default	195143	16528	1	2532	1	16250	2500	other	0
sub03	2	Picture	cross_default	197675	19061	1	2533	1	18750	2500	other	0
sub03	2	Picture	cross_default	200208	21593	1	2533	1	21250	2500	other	0
sub03	2	Picture	cross_default	202741	24126	1	2533	1	23750	2500	other	0
sub03	2	Picture	cross_default	205273	26659	1	2533	1	26250	2500	other	0
sub03	2	Picture	cross_default	207806	29191	1	3865	1	28750	3750	other	0
sub03	2	Picture	arrow_stay	211671	33057	1	2533	1	32500	2500	other	0
sub03	2	Picture	cross_respond	214204	35589	1	2533	1	35000	2500	other	0
sub03	2	Response	2	216465	37851	1
sub03	2	Picture	cross_wait	216736	38122	1	5732	2	37500	next	hit	16
sub03	2	Response	2	222385	43771	1
sub03	2A	Picture	correct	222468	0	1	2133	2	0	2000	other	0
sub03	3	Picture	cross_start	224734	0	1	10130	1	0	10000	other	0
sub03	3	Picture	arrow_right	234864	10130	1	2532	1	10000	2500	other	0
sub03	3	Picture	cross_default	237397	12663	1	3866	1	12500	3750	other	0
sub03	3	Picture	cross_default	241262	16528	1	2532	1	16250	2500	other	0
sub03	3	Picture	cross_default	243795	19061	1	2533	1	18750	2500	other	0
sub03	3	Picture	cross_default	246327	21593	1	2533	1	21250	2500	other	0
sub03	3	Picture	cross_default	248860	24126	1	2533	1	23750	2500	other	0
sub03	3	Picture	cross_default	251392	26659	1	2532	1	26250	2500	other	0
sub03	3	Picture	cross_default	253925	29191	1	3865	1	28750	3750	other	0
sub03	3	Picture	arrow_stay	257790	33056	1	2533	1	32500	2500	other	0
sub03	3	Picture	cross_respond	260323	35589	1	2533	1	35000	2500	other	0
sub03	3	Picture	cross_wait	262855	38122	1	5198	2	37500	next	hit	30
sub03	3	Response	2	267905	43171	1
sub03	3A	Picture	correct	268054	0	1	2133	1	0	2000	other	0
sub03	4	Picture	cross_start	270320	0	1	10130	1	0	10000	other	0
sub03	4	Picture	arrow_left	280450	10130	1	2533	1	10000	2500	other	0
sub03	4	Picture	cross_default	282983	12663	1	3865	1	12500	3750	other	0
sub03	4	Picture	arrow_right	286848	16528	1	2533	1	16250	2500	other	0
sub03	4	Picture	cross_default	289381	19061	1	2532	1	18750	2500	other	0
sub03	4	Picture	arrow_left	291913	21593	1	2533	1	21250	2500	other	0
sub03	4	Picture	cross_default	294446	24126	1	2533	1	23750	2500	other	0
sub03	4	Picture	arrow_left	296978	26658	1	2533	1	26250	2500	other	0
sub03	4	Picture	cross_default	299511	29191	1	3865	1	28750	3750	other	0
sub03	4	Picture	arrow_stay	303376	33056	1	2533	1	32500	2500	other	0
sub03	4	Picture	cross_respond	305909	35589	1	2532	1	35000	2500	other	0
sub03	4	Picture	cross_wait	308441	38122	1	11330	1	37500	next	hit	44
sub03	4	Response	1	319664	49344	1
sub03	4A	Picture	correct	319771	0	1	2133	1	0	2000	other	0
sub03	5	Picture	cross_start	322037	0	1	10130	1	0	10000	other	0
sub03	5	Picture	arrow_left	332168	10130	1	2533	1	10000	2500	other	0
sub03	5	Picture	cross_default	334700	12663	1	3865	1	12500	3750	other	0
