Scenario - bike_pilot_practice
Logfile written - 09/16/2019 15:19:19

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

sub05	1	Picture	instruct	10133	0	1	31190	1	0	next	other	0
sub05	1	Response	1	41225	31092	1
sub05	2	Picture	cross_start	41323	0	1	10130	1	0	10000	other	0
sub05	2	Picture	arrow_left	51453	10130	1	2532	1	10000	2500	other	0
sub05	2	Picture	cross_default	53985	12662	1	3865	1	12500	3750	other	0
sub05	2	Picture	cross_default	57851	16528	1	2532	1	16250	2500	other	0
sub05	2	Picture	cross_default	60383	19060	1	2532	1	18750	2500	other	0
sub05	2	Picture	cross_default	62916	21593	1	2532	1	21250	2500	other	0
sub05	2	Picture	cross_default	65448	24125	1	2533	1	23750	2500	other	0
sub05	2	Picture	cross_default	67981	26658	1	2532	1	26250	2500	other	0
sub05	2	Picture	cross_default	70513	29190	1	3865	1	28750	3750	other	0
sub05	2	Picture	arrow_stay	74378	33056	1	2533	1	32500	2500	other	0
sub05	2	Picture	cross_respond	76911	35588	1	2533	1	35000	2500	other	0
sub05	2	Picture	cross_wait	79443	38121	1	19727	1	37500	next	hit	15
sub05	2	Response	1	99064	57741	1
sub05	2A	Picture	correct	99170	0	1	2133	1	0	2000	other	0
sub05	3	Picture	cross_start	101436	0	1	10130	1	0	10000	other	0
sub05	3	Picture	arrow_left	111566	10130	1	2532	1	10000	2500	other	0
sub05	3	Picture	cross_default	114099	12663	1	3865	1	12500	3750	other	0
sub05	3	Picture	cross_default	117964	16528	1	2533	1	16250	2500	other	0
sub05	3	Picture	cross_default	120496	19060	1	2532	1	18750	2500	other	0
sub05	3	Picture	cross_default	123029	21593	1	2532	1	21250	2500	other	0
sub05	3	Picture	cross_default	125561	24125	1	2533	1	23750	2500	other	0
sub05	3	Picture	cross_default	128094	26658	1	2532	1	26250	2500	other	0
sub05	3	Picture	cross_default	130626	29190	1	3865	1	28750	3750	other	0
sub05	3	Picture	arrow_switch	134492	33056	1	2533	1	32500	2500	other	0
sub05	3	Picture	cross_respond	137024	35588	1	2532	1	35000	2500	other	0
sub05	3	Picture	cross_wait	139557	38121	1	10796	1	37500	next	hit	29
sub05	3	Response	2	150263	48827	1
sub05	3A	Picture	correct	150353	0	1	2133	1	0	2000	other	0
sub05	4	Picture	cross_start	152619	0	1	10130	1	0	10000	other	0
sub05	4	Picture	arrow_right	162749	10130	1	2533	1	10000	2500	other	0
sub05	4	Picture	cross_default	165282	12662	1	3865	1	12500	3750	other	0
sub05	4	Picture	cross_default	169147	16528	1	2533	1	16250	2500	other	0
sub05	4	Picture	cross_default	171679	19060	1	2533	1	18750	2500	other	0
sub05	4	Picture	cross_default	174212	21593	1	2532	1	21250	2500	other	0
sub05	4	Picture	cross_default	176744	24125	1	2533	1	23750	2500	other	0
sub05	4	Picture	cross_default	179277	26658	1	2532	1	26250	2500	other	0
sub05	4	Picture	cross_default	181809	29190	1	3865	1	28750	3750	other	0
sub05	4	Picture	arrow_stay	185675	33056	1	2532	1	32500	2500	other	0
sub05	4	Picture	cross_respond	188207	35588	1	2533	1	35000	2500	other	0
sub05	4	Picture	cross_wait	190740	38121	1	4798	1	37500	next	hit	43
sub05	4	Response	2	195462	42843	1
sub05	4A	Picture	correct	195538	0	1	2133	1	0	2000	other	0
sub05	5	Picture	cross_start	197804	0	1	10130	1	0	10000	other	0
sub05	5	Picture	arrow_right	207934	10130	1	2533	1	10000	2500	other	0
sub05	5	Picture	cross_default	210467	12662	1	3865	1	12500	3750	other	0
sub05	5	Picture	cross_default	214332	16528	1	2532	1	16250	2500	other	0
sub05	5	Picture	cross_default	216864	19060	1	2533	1	18750	2500	other	0
sub05	5	Picture	cross_default	219397	21593	1	2532	1	21250	2500	other	0
sub05	5	Picture	cross_default	221929	24125	1	2533	1	23750	2500	other	0
sub05	5	Picture	cross_default	224462	26658	1	2532	1	26250	2500	other	0
sub05	5	Picture	cross_default	226994	29190	1	3865	1	28750	3750	other	0
sub05	5	Picture	arrow_switch	230860	33056	1	2532	1	32500	2500	other	0
sub05	5	Picture	cross_respond	233392	35588	1	2533	1	35000	2500	other	0
sub05	5	Picture	cross_wait	235925	38121	1	7731	1	37500	next	hit	57
sub05	5	Response	1	243542	45738	1
sub05	5A	Picture	correct	243655	0	1	2133	2	0	2000	other	0
sub05	6	Picture	cross_start	245921	0	1	10130	1	0	10000	other	0
sub05	6	Picture	arrow_left	256051	10130	1	2532	1	10000	2500	other	0
sub05	6	Picture	cross_default	258584	12663	1	3865	1	12500	3750	other	0
sub05	6	Picture	cross_default	262449	16528	1	2533	1	16250	2500	other	0
sub05	6	Picture	cross_default	264982	19060	1	2533	1	18750	2500	other	0
sub05	6	Picture	cross_default	267514	21593	1	2532	1	21250	2500	other	0
sub05	6	Picture	cross_default	270047	24125	1	2532	1	23750	2500	other	0
sub05	6	Picture	cross_default	272579	26658	1	2533	1	26250	2500	other	0
sub05	6	Picture	cross_default	275112	29190	1	3865	1	28750	3750	other	0
sub05	6	Picture	arrow_stay	278977	33056	1	2532	1	32500	2500	other	0
sub05	6	Picture	cross_respond	281510	35588	1	2533	1	35000	2500	other	0
sub05	6	Picture	cross_wait	284042	38121	1	7331	1	37500	next	hit	71
sub05	6	Response	1	291300	45379	1
sub05	6A	Picture	correct	291373	0	1	2133	1	0	2000	other	0
sub05	7	Picture	cross_start	293639	0	1	10130	1	0	10000	other	0
sub05	7	Picture	arrow_left	303769	10130	1	2533	1	10000	2500	other	0
sub05	7	Picture	cross_default	306301	12663	1	3865	1	12500	3750	other	0
sub05	7	Picture	cross_default	310167	16528	1	2533	1	16250	2500	other	0
sub05	7	Picture	cross_default	312699	19060	1	2532	1	18750	2500	other	0
sub05	7	Picture	cross_default	315232	21593	1	2533	1	21250	2500	other	0
sub05	7	Picture	cross_default	317764	24125	1	2532	1	23750	2500	other	0
sub05	7	Picture	cross_default	320297	26658	1	2532	1	26250	2500	other	0
sub05	7	Picture	cross_default	322829	29190	1	3865	1	28750	3750	other	0
sub05	7	Picture	arrow_switch	326695	33056	1	2533	1	32500	2500	other	0
sub05	7	Picture	cross_respond	329227	35588	1	2532	1	35000	2500	other	0
sub05	7	Picture	cross_wait	331760	38121	1	4532	1	37500	next	hit	85
sub05	7	Response	2	336260	42621	1
sub05	7A	Picture	correct	336291	0	1	2133	1	0	2000	other	0
sub05	8	Picture	cross_start	338557	0	1	10130	1	0	10000	other	0
sub05	8	Picture	arrow_right	348687	10130	1	2533	1	10000	2500	other	0
sub05	8	Picture	cross_default	351220	12663	1	3865	1	12500	3750	other	0
sub05	8	Picture	cross_default	355085	16528	1	2532	1	16250	2500	other	0
sub05	8	Picture	cross_default	357618	19060	1	2533	1	18750	2500	other	0
sub05	8	Picture	cross_default	360150	21593	1	2532	1	21250	2500	other	0
sub05	8	Picture	cross_default	362683	24125	1	2533	1	23750	2500	other	0
sub05	8	Picture	cross_default	365215	26658	1	2532	1	26250	2500	other	0
sub05	8	Picture	cross_default	367748	29190	1	3866	1	28750	3750	other	0
sub05	8	Picture	arrow_stay	371613	33056	1	2532	1	32500	2500	other	0
sub05	8	Picture	cross_respond	374146	35588	1	2532	1	35000	2500	other	0
sub05	8	Picture	cross_wait	376678	38121	1	4265	1	37500	next	hit	99
sub05	8	Response	2	380819	42262	1
sub05	8A	Picture	correct	380943	0	1	2133	1	0	2000	other	0
sub05	9	Picture	cross_start	383209	0	1	10130	1	0	10000	other	0
sub05	9	Picture	arrow_left	393339	10130	1	2532	1	10000	2500	other	0
sub05	9	Picture	cross_default	395872	12663	1	3865	1	12500	3750	other	0
sub05	9	Picture	cross_default	399737	16528	1	2532	1	16250	2500	other	0
sub05	9	Picture	cross_default	402269	19060	1	2533	1	18750	2500	other	0
sub05	9	Picture	cross_default	404802	21593	1	2533	1	21250	2500	other	0
sub05	9	Picture	cross_default	407334	24125	1	2532	1	23750	2500	other	0
sub05	9	Picture	cross_default	409867	26658	1	2533	1	26250	2500	other	0
sub05	9	Picture	cross_default	412399	29190	1	3865	1	28750	3750	other	0
sub05	9	Picture	arrow_switch	416265	33056	1	2533	1	32500	2500	other	0
sub05	9	Picture	cross_respond	418797	35588	1	2532	1	35000	2500	other	0
sub05	9	Picture	cross_wait	421330	38121	1	3599	1	37500	next	miss	0
sub05	9	Response	1	424818	41609	1
sub05	9A	Picture	incorrect	424929	0	1	2133	1	0	2000	other	0
sub05	10	Picture	cross_start	427195	0	1	10130	1	0	10000	other	0
sub05	10	Picture	arrow_left	437325	10130	1	2532	1	10000	2500	other	0
sub05	10	Picture	cross_default	439857	12662	1	3865	1	12500	3750	other	0
sub05	10	Picture	cross_default	443722	16528	1	2533	1	16250	2500	other	0
sub05	10	Picture	cross_default	446255	19060	1	2532	1	18750	2500	other	0
sub05	10	Picture	cross_default	448787	21593	1	2533	1	21250	2500	other	0
sub05	10	Picture	cross_default	451320	24125	1	2532	1	23750	2500	other	0
sub05	10	Picture	cross_default	453852	26658	1	2533	1	26250	2500	other	0
sub05	10	Picture	cross_default	456385	29190	1	3865	1	28750	3750	other	0
sub05	10	Picture	arrow_stay	460250	33056	1	2533	1	32500	2500	other	0
sub05	10	Picture	cross_respond	462783	35588	1	2532	1	35000	2500	other	0
sub05	10	Picture	cross_wait	465315	38121	1	16395	1	37500	next	miss	0
sub05	10	Response	2	481617	54423	1
sub05	10A	Picture	incorrect	481710	0	1	2133	1	0	2000	other	0
sub05	11	Picture	cross_start	483976	0	1	10130	1	0	10000	other	0
sub05	11	Picture	arrow_right	494106	10130	1	2532	1	10000	2500	other	0
sub05	11	Picture	cross_default	496638	12663	1	3865	1	12500	3750	other	0
sub05	11	Picture	cross_default	500503	16528	1	2532	1	16250	2500	other	0
sub05	11	Picture	cross_default	503036	19060	1	2533	1	18750	2500	other	0
sub05	11	Picture	cross_default	505569	21593	1	2532	1	21250	2500	other	0
sub05	11	Picture	cross_default	508101	24125	1	2533	1	23750	2500	other	0
sub05	11	Picture	cross_default	510633	26658	1	2533	1	26250	2500	other	0
sub05	11	Picture	cross_default	513166	29190	1	3865	1	28750	3750	other	0
sub05	11	Picture	arrow_stay	517031	33056	1	2533	1	32500	2500	other	0
sub05	11	Picture	cross_respond	519564	35588	1	2533	1	35000	2500	other	0
sub05	11	Picture	cross_wait	522096	38121	1	95035	1	37500	next	hit	141
