suj,bloc,StimDiff,cue,attend,correct,rt
v1-006,jittered,0.4,retro,second,1,1.25387287139893
v1-006,jittered,0.4,retro,first,1,2.1678569316864
v1-006,jittered,0.4,retro,second,1,0.562049865722656
v1-006,jittered,0.4,retro,first,1,0.66541600227356
v1-006,jittered,0.4,retro,first,1,0.684207916259766
v1-006,jittered,0.4,pre,second,1,0.531600952148438
v1-006,jittered,0.4,retro,first,1,0.732354879379272
v1-006,jittered,0.4,pre,second,1,0.54244589805603
v1-006,jittered,0.4,pre,second,0,2.09052705764771
v1-006,jittered,0.4,retro,second,1,0.660093784332275
v1-006,jittered,0.4,pre,second,1,0.639369964599609
v1-006,jittered,0.4,retro,second,1,0.575138807296753
v1-006,jittered,0.4,pre,first,1,0.901002883911133
v1-006,jittered,0.4,pre,second,1,4.50156497955322
v1-006,jittered,0.4,pre,second,1,0.490789175033569
v1-006,jittered,0.4,pre,first,1,0.570361137390137
v1-006,jittered,0.4,pre,second,1,2.02565097808838
v1-006,jittered,0.4,pre,first,1,1.47531294822693
v1-006,jittered,0.4,pre,second,1,1.10488796234131
v1-006,jittered,0.4,retro,second,0,1.725261926651
v1-006,jittered,0.4,retro,first,0,0.845533847808838
v1-006,jittered,0.4,retro,first,1,0.417872905731201
v1-006,jittered,0.4,pre,first,0,0.630174160003662
v1-006,jittered,0.4,pre,first,1,0.700308084487915
v1-006,jittered,0.4,retro,second,1,0.659781932830811
v1-006,jittered,0.4,retro,first,1,0.611196994781494
v1-006,jittered,0.4,retro,second,1,0.571489095687866
v1-006,jittered,0.4,retro,second,1,0.573328971862793
v1-006,jittered,0.4,pre,second,1,0.65073299407959
v1-006,jittered,0.4,pre,first,1,0.708855152130127
v1-006,jittered,0.4,retro,first,1,0.718184947967529
v1-006,jittered,0.4,retro,second,1,0.677726984024048
v1-006,jittered,0.4,pre,first,1,0.647811889648438
v1-006,jittered,0.4,pre,second,0,2.37850713729858
v1-006,jittered,0.4,pre,first,1,0.659353017807007
v1-006,jittered,0.4,retro,first,1,0.578926086425781
v1-006,jittered,0.4,pre,second,0,0.6493239402771
v1-006,jittered,0.4,retro,first,1,0.608916997909546
v1-006,jittered,0.4,pre,second,1,0.689692974090576
v1-006,jittered,0.4,retro,first,1,0.581737041473389
v1-006,jittered,0.4,retro,second,1,0.599107980728149
v1-006,jittered,0.4,pre,first,0,1.98286914825439
v1-006,jittered,0.4,retro,first,1,0.578303098678589
v1-006,jittered,0.4,retro,first,1,0.608542919158936
v1-006,jittered,0.4,pre,second,1,0.559315919876099
v1-006,jittered,0.4,retro,second,0,0.610592842102051
v1-006,jittered,0.4,retro,first,1,0.533622980117798
v1-006,jittered,0.4,pre,first,1,1.89849209785461
v1-006,jittered,0.4,retro,second,1,0.602344989776611
v1-006,jittered,0.4,pre,second,1,1.71615886688232
v1-006,jittered,0.4,retro,second,1,0.559298992156982
v1-006,jittered,0.4,retro,first,1,0.513885974884033
v1-006,jittered,0.4,retro,second,1,0.544552803039551
v1-006,jittered,0.4,pre,first,1,0.511849880218506
v1-006,jittered,0.4,pre,first,1,1.15277910232544
v1-006,jittered,0.4,retro,first,1,0.60021710395813
v1-006,jittered,0.4,pre,first,0,1.24477410316467
v1-006,jittered,0.4,retro,second,1,0.599087953567505
v1-006,jittered,0.4,pre,first,1,0.562371969223022
v1-006,jittered,0.4,pre,first,1,0.599431037902832
v1-006,jittered,0.4,pre,second,1,0.702079057693481
v1-006,jittered,0.4,retro,second,1,0.561702966690063
v1-006,jittered,0.4,pre,second,1,0.501834154129028
v1-006,jittered,0.4,pre,first,1,0.750963926315308
v1-006,fixed,0.4,pre,second,1,2.01225900650024
v1-006,fixed,0.4,pre,first,0,2.21465396881104
v1-006,fixed,0.4,retro,first,1,1.11401915550232
v1-006,fixed,0.4,retro,second,1,0.41936206817627
v1-006,fixed,0.4,retro,second,1,0.539222955703735
v1-006,fixed,0.4,pre,second,1,0.540999889373779
v1-006,fixed,0.4,retro,second,1,0.583272933959961
