suj,bloc,StimDiff,cue,attend,correct,rt
sub002,jittered,0.04,retro,first,0,0.507462978363037
sub002,jittered,0.04,retro,first,1,0.479888916015625
sub002,jittered,0.04,pre,first,0,0.705504894256592
sub002,jittered,0.04,retro,second,1,0.497919082641602
sub002,jittered,0.04,pre,first,1,0.445516109466553
sub002,jittered,0.04,retro,first,1,0.517789125442505
sub002,jittered,0.04,retro,first,0,0.899677038192749
sub002,jittered,0.04,retro,first,0,0.584712028503418
sub002,jittered,0.04,pre,second,1,0.791404008865356
sub002,jittered,0.04,pre,second,1,0.544754981994629
sub002,jittered,0.04,retro,first,0,0.450432062149048
sub002,jittered,0.04,pre,second,1,0.377372980117798
sub002,jittered,0.04,pre,first,1,0.39916205406189
sub002,jittered,0.04,pre,first,0,0.381491184234619
sub002,jittered,0.04,retro,second,1,0.478189945220947
sub002,jittered,0.04,retro,second,0,0.462496995925903
sub002,jittered,0.04,retro,first,1,0.447777032852173
sub002,jittered,0.04,pre,first,1,0.39687705039978
sub002,jittered,0.04,pre,second,1,0.479017019271851
sub002,jittered,0.04,pre,first,0,0.389217853546143
sub002,jittered,0.04,retro,first,1,0.449833154678345
sub002,jittered,0.04,pre,second,0,0.399760961532593
sub002,jittered,0.04,retro,second,0,0.440299034118652
sub002,jittered,0.04,retro,second,1,0.361664056777954
sub002,jittered,0.04,pre,first,0,0.39854907989502
sub002,jittered,0.04,pre,second,1,0.35663914680481
sub002,jittered,0.04,pre,second,0,0.419883966445923
sub002,jittered,0.04,retro,second,1,0.344655990600586
sub002,jittered,0.04,retro,second,1,0.457063913345337
sub002,jittered,0.04,pre,first,1,0.383644104003906
sub002,jittered,0.04,pre,second,1,0.558303117752075
sub002,jittered,0.04,retro,second,1,0.389590978622437
sub002,early,0.04,retro,first,1,0.398381948471069
sub002,early,0.04,pre,second,0,0.396964073181152
sub002,early,0.04,retro,second,1,0.377930879592896
sub002,early,0.04,pre,second,1,0.397110939025879
sub002,early,0.04,pre,second,1,0.538773775100708
sub002,early,0.04,retro,first,1,0.496818065643311
sub002,early,0.04,pre,second,1,0.356132984161377
sub002,early,0.04,retro,first,1,0.398231029510498
sub002,early,0.04,retro,second,1,0.364399909973145
sub002,early,0.04,pre,first,1,0.720437049865723
sub002,early,0.04,retro,second,1,0.379501104354858
sub002,early,0.04,retro,first,1,0.399929046630859
sub002,early,0.04,pre,first,1,0.378039121627808
sub002,early,0.04,pre,second,1,0.418086051940918
sub002,early,0.04,retro,first,1,0.400223970413208
sub002,early,0.04,retro,first,0,0.460458040237427
sub002,early,0.04,retro,first,1,0.406620979309082
sub002,early,0.04,retro,second,1,0.669983148574829
sub002,early,0.04,pre,first,1,0.376955986022949
sub002,early,0.04,retro,first,1,0.397588968276978
sub002,early,0.04,retro,second,1,0.357625007629395
sub002,early,0.04,pre,first,1,0.522449970245361
sub002,early,0.04,pre,second,1,0.680028915405273
sub002,early,0.04,pre,first,1,0.404561042785645
sub002,early,0.04,retro,second,1,0.358062028884888
sub002,early,0.04,pre,second,1,0.425801992416382
sub002,early,0.04,retro,second,1,0.66766095161438
sub002,early,0.04,pre,first,1,0.405007839202881
