suj,bloc,cue,attend,perc_correct,med_rt,tuk_rt
p006,fixed-fixed,pre,first,0.8125,0.700308084487915,0.679830551147461
p006,fixed-fixed,pre,second,0.8125,0.65073299407959,0.6450514793396
p006,fixed-fixed,retro,first,0.9375,0.608542919158936,0.608542919158936
p006,fixed-fixed,retro,second,0.875,0.587113380432129,0.575138807296753
p006,jittered-fixed,pre,first,1,0.54847240447998,0.542143821716309
p006,jittered-fixed,pre,second,0.9375,0.60009503364563,0.485797047615051
p006,jittered-fixed,retro,first,1,0.531442046165466,0.530694961547852
p006,jittered-fixed,retro,second,1,0.577636480331421,0.571272015571594
p006,jittered,pre,first,0.9375,0.529587984085083,0.512315034866333
p006,jittered,pre,second,0.875,0.58637547492981,0.566025972366333
p006,jittered,retro,first,0.9375,0.513867855072021,0.511038899421692
p006,jittered,retro,second,0.9375,0.521991014480591,0.518718957901001
p007,fixed-fixed,pre,first,0.9375,0.552081823348999,0.547148823738098
p007,fixed-fixed,pre,second,0.875,0.515007853507996,0.507332444190979
p007,fixed-fixed,retro,first,0.75,0.521730422973633,0.521730422973633
p007,fixed-fixed,retro,second,0.6875,0.570164918899536,0.564933896064758
p007,jittered-fixed,pre,first,1,0.570091605186462,0.565203189849854
p007,jittered-fixed,pre,second,1,0.528368949890137,0.528368949890137
p007,jittered-fixed,retro,first,1,0.531305551528931,0.527487993240356
p007,jittered-fixed,retro,second,0.875,0.536733627319336,0.536733627319336
p007,jittered,pre,first,1,0.577105402946472,0.563013911247253
p007,jittered,pre,second,1,0.560166954994202,0.557564973831177
p007,jittered,retro,first,1,0.558221101760864,0.558221101760864
p007,jittered,retro,second,0.9375,0.539130926132202,0.539130926132202
p008,fixed-fixed,pre,first,0.75,0.536176562309265,0.489771127700806
p008,fixed-fixed,pre,second,0.8125,0.509237051010132,0.500285029411316
p008,fixed-fixed,retro,first,0.875,0.459646940231323,0.458846092224121
p008,fixed-fixed,retro,second,0.9375,0.584542989730835,0.584542989730835
p008,jittered-fixed,pre,first,0.75,0.505024552345276,0.482284545898438
p008,jittered-fixed,pre,second,0.9375,0.475893020629883,0.475893020629883
p008,jittered-fixed,retro,first,0.75,0.402570009231567,0.394455552101135
p008,jittered-fixed,retro,second,0.875,0.50292694568634,0.50292694568634
p008,jittered,pre,first,0.875,0.581964015960693,0.581964015960693
p008,jittered,pre,second,0.6875,0.451488971710205,0.450155019760132
p008,jittered,retro,first,0.75,0.475000977516174,0.457563877105713
p008,jittered,retro,second,0.875,0.484960079193115,0.484960079193115
p009,fixed-fixed,pre,first,0.75,0.515738010406494,0.512995004653931
p009,fixed-fixed,pre,second,0.75,0.507912993431091,0.507912993431091
p009,fixed-fixed,retro,first,0.875,0.486096858978271,0.486096858978271
p009,fixed-fixed,retro,second,0.75,0.46640145778656,0.46640145778656
p009,jittered-fixed,pre,first,0.75,0.711826086044312,0.711826086044312
p009,jittered-fixed,pre,second,0.8125,0.58802318572998,0.568028926849365
p009,jittered-fixed,retro,first,0.625,0.555515050888062,0.555515050888062
p009,jittered-fixed,retro,second,0.6875,0.533877849578857,0.533877849578857
p009,jittered,pre,first,0.8125,0.457230091094971,0.443251013755798
p009,jittered,pre,second,0.625,0.454107522964478,0.454107522964478
p009,jittered,retro,first,0.625,0.473736047744751,0.473736047744751
p009,jittered,retro,second,0.75,0.433787941932678,0.433787941932678
p011,fixed-fixed,pre,first,0.8125,0.499104022979736,0.499104022979736
p011,fixed-fixed,pre,second,0.9375,0.531300067901611,0.530210971832275
p011,fixed-fixed,retro,first,0.6875,0.570471048355103,0.565366506576538
p011,fixed-fixed,retro,second,0.875,0.520402073860168,0.509498119354248
p011,jittered-fixed,pre,first,0.8125,0.543232917785645,0.533266425132751
p011,jittered-fixed,pre,second,1,0.534655094146729,0.534655094146729
p011,jittered-fixed,retro,first,0.9375,0.550981998443604,0.550981998443604
p011,jittered-fixed,retro,second,0.875,0.573859930038452,0.539109945297241
p011,jittered,pre,first,0.75,0.5643390417099,0.557636022567749
p011,jittered,pre,second,0.8125,0.618541955947876,0.582615852355957
p011,jittered,retro,first,0.9375,0.54144811630249,0.54144811630249
p011,jittered,retro,second,0.6875,0.592225074768066,0.592225074768066
p012,fixed-fixed,pre,first,0.8125,0.454710960388184,0.452342510223389
p012,fixed-fixed,pre,second,0.875,0.454969048500061,0.419332981109619
p012,fixed-fixed,retro,first,0.75,0.405303478240967,0.405303478240967
p012,fixed-fixed,retro,second,0.8125,0.449038982391357,0.432996988296509
p012,jittered-fixed,pre,first,0.6875,0.467245817184448,0.467245817184448
p012,jittered-fixed,pre,second,0.8125,0.434280872344971,0.431505441665649
p012,jittered-fixed,retro,first,0.875,0.425277948379517,0.397468447685242
p012,jittered-fixed,retro,second,0.75,0.505568623542786,0.490238189697266
p012,jittered,pre,first,0.8125,0.499825954437256,0.499742984771729
p012,jittered,pre,second,0.8125,0.544841051101685,0.536831974983215
p012,jittered,retro,first,0.5,0.470991015434265,0.461040019989014
p012,jittered,retro,second,0.9375,0.474096059799194,0.44222092628479
