suj,bloc,cue,attend,correct,rt
p006,fix-fix,retro,second,1,1.25387287139893
p006,fix-fix,retro,first,1,2.1678569316864
p006,fix-fix,retro,second,1,0.562049865722656
p006,fix-fix,retro,first,1,0.66541600227356
p006,fix-fix,retro,first,1,0.684207916259766
p006,fix-fix,pre,second,1,0.531600952148438
p006,fix-fix,retro,first,1,0.732354879379272
p006,fix-fix,pre,second,1,0.54244589805603
p006,fix-fix,pre,second,0,2.09052705764771
p006,fix-fix,retro,second,1,0.660093784332275
p006,fix-fix,pre,second,1,0.639369964599609
p006,fix-fix,retro,second,1,0.575138807296753
p006,fix-fix,pre,first,1,0.901002883911133
p006,fix-fix,pre,second,1,4.50156497955322
p006,fix-fix,pre,second,1,0.490789175033569
p006,fix-fix,pre,first,1,0.570361137390137
p006,fix-fix,pre,second,1,2.02565097808838
p006,fix-fix,pre,first,1,1.47531294822693
p006,fix-fix,pre,second,1,1.10488796234131
p006,fix-fix,retro,second,0,1.725261926651
p006,fix-fix,retro,first,0,0.845533847808838
p006,fix-fix,retro,first,1,0.417872905731201
p006,fix-fix,pre,first,0,0.630174160003662
p006,fix-fix,pre,first,1,0.700308084487915
p006,fix-fix,retro,second,1,0.659781932830811
p006,fix-fix,retro,first,1,0.611196994781494
p006,fix-fix,retro,second,1,0.571489095687866
p006,fix-fix,retro,second,1,0.573328971862793
p006,fix-fix,pre,second,1,0.65073299407959
p006,fix-fix,pre,first,1,0.708855152130127
p006,fix-fix,retro,first,1,0.718184947967529
p006,fix-fix,retro,second,1,0.677726984024048
p006,fix-fix,pre,first,1,0.647811889648438
p006,fix-fix,pre,second,0,2.37850713729858
p006,fix-fix,pre,first,1,0.659353017807007
p006,fix-fix,retro,first,1,0.578926086425781
p006,fix-fix,pre,second,0,0.6493239402771
p006,fix-fix,retro,first,1,0.608916997909546
p006,fix-fix,pre,second,1,0.689692974090576
p006,fix-fix,retro,first,1,0.581737041473389
p006,fix-fix,retro,second,1,0.599107980728149
p006,fix-fix,pre,first,0,1.98286914825439
p006,fix-fix,retro,first,1,0.578303098678589
p006,fix-fix,retro,first,1,0.608542919158936
p006,fix-fix,pre,second,1,0.559315919876099
p006,fix-fix,retro,second,0,0.610592842102051
p006,fix-fix,retro,first,1,0.533622980117798
p006,fix-fix,pre,first,1,1.89849209785461
p006,fix-fix,retro,second,1,0.602344989776611
p006,fix-fix,pre,second,1,1.71615886688232
p006,fix-fix,retro,second,1,0.559298992156982
p006,fix-fix,retro,first,1,0.513885974884033
p006,fix-fix,retro,second,1,0.544552803039551
p006,fix-fix,pre,first,1,0.511849880218506
p006,fix-fix,pre,first,1,1.15277910232544
p006,fix-fix,retro,first,1,0.60021710395813
p006,fix-fix,pre,first,0,1.24477410316467
p006,fix-fix,retro,second,1,0.599087953567505
p006,fix-fix,pre,first,1,0.562371969223022
p006,fix-fix,pre,first,1,0.599431037902832
p006,fix-fix,pre,second,1,0.702079057693481
p006,fix-fix,retro,second,1,0.561702966690063
p006,fix-fix,pre,second,1,0.501834154129028
p006,fix-fix,pre,first,1,0.750963926315308
p006,jit-fix,pre,second,1,0.664589881896973
p006,jit-fix,pre,second,1,0.60009503364563
p006,jit-fix,retro,first,1,0.450237035751343
p006,jit-fix,pre,second,1,0.675985813140869
p006,jit-fix,retro,second,1,0.671190023422241
p006,jit-fix,pre,second,1,0.420979022979736
p006,jit-fix,retro,first,1,0.601011037826538
p006,jit-fix,retro,second,1,0.928160905838013
